validation_mode,level,universe,ticker,window,window_weeks,start_date,end_date,strategy,final_value,total_contributed,total_invested,cash_remaining,return_on_contributed_pct,return_on_invested_pct,cagr_on_contributed_pct,max_drawdown_pct,volatility_pct,sharpe_ratio,calmar_ratio,buy_actions,average_buy_amount
true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_039_091,52,2022-03-14,2023-03-06,fixed_weekly_dca,4994.67,5200.0,5200.0,-0.0,-3.95,-3.95,-3.95,0.84,117.57,3.915,-4.717,52,99.9
true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_039_091,52,2022-03-14,2023-03-06,simple_dip_buy,5001.33,5200.0,5166.48,33.52,-3.82,-3.2,-3.82,0.8,117.12,3.928,-4.8,52,99.26
true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_039_091,52,2022-03-14,2023-03-06,risk_adjusted_v2,4994.86,5200.0,5200.0,-0.0,-3.94,-3.94,-3.94,0.84,117.17,3.926,-4.718,52,99.9
true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_039_091,52,2022-03-14,2023-03-06,hybrid_70_30,4996.41,5200.0,5191.48,8.52,-3.92,-3.76,-3.92,0.83,117.44,3.918,-4.744,52,99.74
true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_039_091,52,2022-03-14,2023-03-06,hybrid_80_20,4995.74,5200.0,5195.02,4.98,-3.93,-3.84,-3.93,0.83,117.48,3.917,-4.735,52,99.8
true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_039_091,52,2022-03-14,2023-03-06,trend_aware_hybrid,4995.64,5200.0,5196.38,3.62,-3.93,-3.86,-3.93,0.83,117.48,3.917,-4.732,52,99.83
true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_039_091,52,2022-03-14,2023-03-06,fixed_weekly_dca,5024.65,5200.0,5200.0,-0.0,-3.37,-3.37,-3.37,3.64,116.64,3.951,-0.927,52,99.9
true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_039_091,52,2022-03-14,2023-03-06,simple_dip_buy,5039.82,5200.0,5149.28,50.72,-3.08,-2.13,-3.08,3.59,116.33,3.962,-0.858,52,98.93
true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_039_091,52,2022-03-14,2023-03-06,risk_adjusted_v2,5032.13,5200.0,5200.0,-0.0,-3.23,-3.23,-3.23,3.64,116.37,3.96,-0.886,52,99.9
true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_039_091,52,2022-03-14,2023-03-06,hybrid_70_30,5029.07,5200.0,5186.03,13.97,-3.29,-3.03,-3.29,3.62,116.55,3.954,-0.907,52,99.63
