analysis_type,validation_mode,level,universe,ticker,window,window_weeks,strategy,target_invested,actual_invested,normalized_final_value,normalized_return_pct
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,portfolio,all_symbols,all_symbols,full_available,261,hybrid_70_30,153340.2,155710.76,325692.1,112.4
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,portfolio,all_symbols,all_symbols,full_available,261,hybrid_80_20,153340.2,156048.06,325488.31,112.27
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,portfolio,all_symbols,all_symbols,full_available,261,trend_aware_hybrid,153340.2,156588.67,325300.88,112.14
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_000_052,52,fixed_weekly_dca,5077.31,5200.0,4490.38,-11.56
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_000_052,52,simple_dip_buy,5077.31,5077.31,4617.55,-9.06
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_000_052,52,risk_adjusted_v2,5077.31,5200.0,4491.57,-11.54
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_000_052,52,hybrid_70_30,5077.31,5166.82,4524.31,-10.89
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_000_052,52,hybrid_80_20,5077.31,5179.6,4511.25,-11.15
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_000_052,52,trend_aware_hybrid,5077.31,5197.17,4492.1,-11.53
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_000_052,52,fixed_weekly_dca,5185.28,5200.0,3871.79,-25.33
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_000_052,52,simple_dip_buy,5185.28,5200.0,3895.95,-24.87
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_000_052,52,risk_adjusted_v2,5185.28,5185.28,3893.87,-24.91
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_000_052,52,hybrid_70_30,5185.28,5200.0,3878.51,-25.2
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_000_052,52,hybrid_80_20,5185.28,5200.0,3876.02,-25.25
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_000_052,52,trend_aware_hybrid,5185.28,5200.0,3875.92,-25.25
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_000_052,52,fixed_weekly_dca,4996.84,5200.0,6141.87,22.91
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_000_052,52,simple_dip_buy,4996.84,4996.84,6394.72,27.98
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_000_052,52,risk_adjusted_v2,4996.84,5023.12,6332.94,26.74
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_000_052,52,hybrid_70_30,4996.84,5139.97,6213.67,24.35
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_000_052,52,hybrid_80_20,4996.84,5160.42,6188.62,23.85
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_000_052,52,trend_aware_hybrid,4996.84,5196.41,6145.04,22.98
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_000_052,52,fixed_weekly_dca,5139.05,5200.0,5398.65,5.05
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_000_052,52,simple_dip_buy,5139.05,5139.05,5464.78,6.34
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_000_052,52,risk_adjusted_v2,5139.05,5200.0,5397.05,5.02
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_000_052,52,hybrid_70_30,5139.05,5184.24,5415.72,5.38
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_000_052,52,hybrid_80_20,5139.05,5190.69,5408.78,5.25
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_000_052,52,trend_aware_hybrid,5139.05,5196.08,5403.04,5.14
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_000_052,52,fixed_weekly_dca,5197.49,5200.0,4441.37,-14.55
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_000_052,52,simple_dip_buy,5197.49,5197.49,4455.46,-14.28
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_000_052,52,risk_adjusted_v2,5197.49,5200.0,4443.08,-14.51
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_000_052,52,hybrid_70_30,5197.49,5199.45,4444.9,-14.48
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_000_052,52,hybrid_80_20,5197.49,5199.74,4443.44,-14.51
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_000_052,52,trend_aware_hybrid,5197.49,5199.74,4441.34,-14.55
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_000_052,52,fixed_weekly_dca,5156.22,5200.0,3888.06,-24.59
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_000_052,52,simple_dip_buy,5156.22,5156.22,3968.56,-23.03
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_000_052,52,risk_adjusted_v2,5156.22,5164.26,3932.0,-23.74
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_000_052,52,hybrid_70_30,5156.22,5190.55,3908.39,-24.2
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_000_052,52,hybrid_80_20,5156.22,5195.44,3899.88,-24.37
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_000_052,52,trend_aware_hybrid,5156.22,5198.01,3888.71,-24.58
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_000_052,52,fixed_weekly_dca,30766.91,31200.0,28302.12,-8.01
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_000_052,52,simple_dip_buy,30766.91,30766.91,28808.08,-6.37
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_000_052,52,risk_adjusted_v2,30766.91,30972.67,28513.97,-7.32
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_000_052,52,hybrid_70_30,30766.91,31081.03,28439.21,-7.57
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_000_052,52,hybrid_80_20,30766.91,31125.89,28387.2,-7.73
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,portfolio,all_symbols,all_symbols,rolling_52w_000_052,52,trend_aware_hybrid,30766.91,31187.4,28315.05,-7.97
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_013_065,52,fixed_weekly_dca,5064.98,5200.0,5059.22,-0.11
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_013_065,52,simple_dip_buy,5064.98,5064.98,5203.37,2.73
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_013_065,52,risk_adjusted_v2,5064.98,5181.18,5079.63,0.29
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_013_065,52,hybrid_70_30,5064.98,5162.93,5098.26,0.66
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_013_065,52,hybrid_80_20,5064.98,5176.9,5083.59,0.37
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,AAPL,rolling_52w_013_065,52,trend_aware_hybrid,5064.98,5192.26,5067.4,0.05
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_013_065,52,fixed_weekly_dca,5100.5,5200.0,4066.41,-20.27
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_013_065,52,simple_dip_buy,5100.5,5149.51,4132.81,-18.97
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_013_065,52,risk_adjusted_v2,5100.5,5100.5,4163.96,-18.36
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_013_065,52,hybrid_70_30,5100.5,5185.56,4085.44,-19.9
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_013_065,52,hybrid_80_20,5100.5,5190.7,4078.74,-20.03
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,ASML,rolling_52w_013_065,52,trend_aware_hybrid,5100.5,5190.7,4078.74,-20.03
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_013_065,52,fixed_weekly_dca,5108.51,5200.0,4391.58,-14.03
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_013_065,52,simple_dip_buy,5108.51,5115.4,4501.5,-11.88
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_013_065,52,risk_adjusted_v2,5108.51,5108.51,4489.71,-12.11
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_013_065,52,hybrid_70_30,5108.51,5176.44,4422.1,-13.44
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_013_065,52,hybrid_80_20,5108.51,5185.17,4410.9,-13.66
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,BYDDY,rolling_52w_013_065,52,trend_aware_hybrid,5108.51,5197.55,4393.41,-14.0
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_013_065,52,fixed_weekly_dca,5132.35,5200.0,5311.52,3.49
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_013_065,52,simple_dip_buy,5132.35,5132.35,5384.08,4.9
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_013_065,52,risk_adjusted_v2,5132.35,5197.1,5313.38,3.53
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_013_065,52,hybrid_70_30,5132.35,5183.14,5329.65,3.84
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_013_065,52,hybrid_80_20,5132.35,5190.38,5321.98,3.69
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,KO,rolling_52w_013_065,52,trend_aware_hybrid,5132.35,5193.77,5318.48,3.63
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_013_065,52,fixed_weekly_dca,5169.98,5200.0,4696.57,-9.16
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_013_065,52,simple_dip_buy,5169.98,5169.98,4737.72,-8.36
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_013_065,52,risk_adjusted_v2,5169.98,5191.09,4710.46,-8.89
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_013_065,52,hybrid_70_30,5169.98,5191.81,4707.91,-8.94
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_013_065,52,hybrid_80_20,5169.98,5194.97,4703.65,-9.02
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,MSFT,rolling_52w_013_065,52,trend_aware_hybrid,5169.98,5197.48,4701.07,-9.07
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_013_065,52,fixed_weekly_dca,4991.39,5200.0,3403.24,-31.82
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_013_065,52,simple_dip_buy,4991.39,5178.39,3461.18,-30.66
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_013_065,52,risk_adjusted_v2,4991.39,4991.39,3603.72,-27.8
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_013_065,52,hybrid_70_30,4991.39,5193.58,3419.88,-31.48
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_013_065,52,hybrid_80_20,4991.39,5195.76,3414.07,-31.6
equal_total_invested_normalized_not_real_account_path,true_weekly_contribution,ticker,all_symbols,NVDA,rolling_52w_013_065,52,trend_aware_hybrid,4991.39,5195.76,3414.07,-31.6
