validation_mode,level,universe,ticker,window,window_weeks,start_date,end_date,strategy,final_value,total_contributed,total_invested,cash_remaining,return_on_contributed_pct,return_on_invested_pct,cagr_on_contributed_pct,max_drawdown_pct,volatility_pct,sharpe_ratio,calmar_ratio,buy_actions,average_buy_amount
true_weekly_contribution,ticker,all_symbols,MSFT,full_available,261,2021-06-14,2026-06-05,hybrid_80_20,31396.32,26100.0,26051.92,48.08,20.29,20.51,3.75,26.83,61.78,2.108,0.14,261,99.72
true_weekly_contribution,ticker,all_symbols,MSFT,full_available,261,2021-06-14,2026-06-05,trend_aware_hybrid,31400.35,26100.0,26093.43,6.57,20.31,20.34,3.75,26.88,61.79,2.108,0.14,261,99.87
true_weekly_contribution,ticker,all_symbols,NVDA,full_available,261,2021-06-14,2026-06-05,fixed_weekly_dca,139777.95,26100.0,26100.0,-0.0,435.55,435.55,39.7,34.46,73.22,2.3,1.152,261,99.9
true_weekly_contribution,ticker,all_symbols,NVDA,full_available,261,2021-06-14,2026-06-05,simple_dip_buy,135264.29,26100.0,24831.9,1268.1,418.25,444.72,38.79,33.99,72.38,2.31,1.141,261,95.05
true_weekly_contribution,ticker,all_symbols,NVDA,full_available,261,2021-06-14,2026-06-05,risk_adjusted_v2,130474.75,26100.0,24563.64,1536.36,399.9,431.17,37.8,33.8,72.25,2.302,1.118,261,94.02
true_weekly_contribution,ticker,all_symbols,NVDA,full_available,261,2021-06-14,2026-06-05,hybrid_70_30,138437.64,26100.0,25733.0,367.0,430.41,437.98,39.43,34.33,72.97,2.302,1.149,261,98.5
true_weekly_contribution,ticker,all_symbols,NVDA,full_available,261,2021-06-14,2026-06-05,hybrid_80_20,138891.69,26100.0,25861.7,238.3,432.15,437.06,39.52,34.37,73.06,2.301,1.15,261,98.99
true_weekly_contribution,ticker,all_symbols,NVDA,full_available,261,2021-06-14,2026-06-05,trend_aware_hybrid,139774.67,26100.0,26098.41,1.59,435.54,435.57,39.7,34.46,73.15,2.301,1.152,261,99.89
true_weekly_contribution,portfolio,all_symbols,all_symbols,full_available,261,2021-06-14,2026-06-05,fixed_weekly_dca,332195.25,156600.0,156600.0,0.0,112.13,112.13,16.16,18.7,61.14,2.317,0.864,1566,99.9
true_weekly_contribution,portfolio,all_symbols,all_symbols,full_available,261,2021-06-14,2026-06-05,simple_dip_buy,327165.83,156600.0,153340.2,3259.8,108.92,113.36,15.81,18.31,60.88,2.319,0.863,1566,97.82
true_weekly_contribution,portfolio,all_symbols,all_symbols,full_available,261,2021-06-14,2026-06-05,risk_adjusted_v2,322481.33,156600.0,154654.69,1945.31,105.93,108.52,15.48,18.19,60.85,2.315,0.851,1566,98.66
true_weekly_contribution,portfolio,all_symbols,all_symbols,full_available,261,2021-06-14,2026-06-05,hybrid_70_30,330727.13,156600.0,155710.76,889.24,111.19,112.4,16.06,18.59,61.07,2.317,0.864,1566,99.33
true_weekly_contribution,portfolio,all_symbols,all_symbols,full_available,261,2021-06-14,2026-06-05,hybrid_80_20,331236.16,156600.0,156048.06,551.94,111.52,112.27,16.1,18.63,61.09,2.317,0.864,1566,99.55
true_weekly_contribution,portfolio,all_symbols,all_symbols,full_available,261,2021-06-14,2026-06-05,trend_aware_hybrid,332192.29,156600.0,156588.67,11.33,112.13,112.14,16.16,18.7,61.13,2.317,0.864,1566,99.89
