ticker,date,close,weekly_return,momentum_4w,momentum_12w,volatility_12w,drawdown_from_52w_high,sma_10,sma_20,rsi_14,macd,macd_signal,macd_histogram
NVDA,2026-06-05,205.100006,0.0,-0.08973904,0.18760863,0.04868971,0.08973904,207.4220016,193.81300195,56.20198187,8.69527139,7.52423576,1.17103563
AAPL,2026-06-05,307.339996,0.0,0.02368179,0.23932413,0.01817831,0.0151253,291.102005,274.67250135,69.42760162,13.96783124,9.64997558,4.31785566
MSFT,2026-06-05,416.670013,0.0,-0.01244312,0.09113054,0.05833832,0.20499509,417.1910032,405.5620009,47.16869986,-8.58213095,-14.3965232,5.81439225
BYDDY,2026-06-05,11.26,0.0,-0.07553366,-0.13050193,0.04924265,0.31729995,12.467,12.4275,39.31757347,-0.37611674,-0.23036585,-0.14575088
ASML,2026-06-05,1641.73999,0.0,0.09317419,0.24633896,0.05697479,0.0,1544.5770142,1459.19900515,68.40872051,128.9369452,121.10901758,7.82792762
KO,2026-06-05,79.480003,0.0,-0.01658002,0.06327763,0.01745591,0.02550264,78.7110007,78.12949975,59.03173425,1.9287143,1.93552454,-0.00681024
