ticker,date,close,weekly_return,momentum_4w,momentum_12w,volatility_12w,drawdown_from_52w_high,sma_10,sma_20,rsi_14,macd,macd_signal,macd_histogram
BYDDY,2021-06-07,9.225,,,,,0.0,,,,,,
BYDDY,2021-06-14,9.925,0.07588076,,,,0.0,,,,,,
BYDDY,2021-06-21,9.778333,-0.01477753,,,,0.01477753,,,,,,
BYDDY,2021-06-28,9.498333,-0.02863474,,,,0.04298912,,,,,,
BYDDY,2021-07-05,9.391667,-0.01122997,0.01806688,,,0.05373632,,,,,,
BYDDY,2021-07-12,8.978333,-0.04401072,-0.09538207,,,0.09538207,,,,,,
BYDDY,2021-07-19,9.585,0.06757012,-0.01977157,,,0.03425693,,,,,,
BYDDY,2021-07-26,10.286667,0.07320469,0.08299709,,,0.0,,,,,,
BYDDY,2021-08-02,11.62,0.12961759,0.23726704,,,0.0,,,,,,
BYDDY,2021-08-09,11.675,0.00473322,0.30035275,,,0.0,9.9963333,,,,,
BYDDY,2021-08-16,10.893333,-0.06695221,0.13649797,,,0.06695221,10.1631666,,,,,
BYDDY,2021-08-23,10.943333,0.00458996,0.06383661,,,0.06266955,10.2649999,,,,,
BYDDY,2021-08-30,10.933333,-0.0009138,-0.05909355,0.18518515,0.0581005,0.06352608,10.3804999,,,,,
BYDDY,2021-09-06,11.038333,0.00960366,-0.05453251,0.11217461,0.05492906,0.05453251,10.5344999,,67.13925007,,,
BYDDY,2021-09-13,10.921667,-0.01056917,0.00260104,0.11692525,0.05476806,0.06452531,10.6874999,,65.69050766,,,
BYDDY,2021-09-20,10.283333,-0.05844657,-0.06031069,0.08264608,0.05732523,0.1192006,10.8179999,,58.28038419,,,
BYDDY,2021-09-27,10.295,0.00113455,-0.05838412,0.09618452,0.0570567,0.11820128,10.8889999,,58.37281054,,,
BYDDY,2021-10-04,10.598333,0.02946411,-0.03986109,0.18043439,0.05473056,0.09221987,10.9201665,,60.80412446,,,
BYDDY,2021-10-11,11.77,0.11055201,0.07767431,0.22796035,0.05965099,0.0,10.9351665,,68.4656755,,,
BYDDY,2021-10-18,12.693333,0.078448,0.23435981,0.23395975,0.06010294,0.0,11.0369998,10.51666655,72.95252853,,,
BYDDY,2021-10-25,12.073333,-0.04884454,0.17273754,0.03901317,0.05182626,0.04884454,11.1549998,10.6590832,66.14665018,,,
BYDDY,2021-11-01,13.158333,0.08986748,0.24154742,0.12705208,0.05740302,0.0,11.3764998,10.82074985,71.20871412,,,
BYDDY,2021-11-08,12.858333,-0.02279924,0.09246669,0.18038556,0.05317715,0.02279924,11.5689998,10.97474985,68.17330974,,,
BYDDY,2021-11-15,12.84,-0.00142577,0.01155465,0.17331712,0.05331417,0.0241925,11.7491665,11.1418332,67.98259769,,,
BYDDY,2021-11-22,12.856667,0.00129805,0.06488134,0.1759147,0.05325919,0.02292585,11.9426665,11.3150832,68.07004986,,,
BYDDY,2021-11-29,12.38,-0.03707547,-0.05915134,0.12154616,0.0553417,0.05915134,12.1523332,11.48516655,62.78798909,1.0395272,,
BYDDY,2021-12-06,12.445,0.0052504,-0.03214515,0.13947807,0.05496922,0.0542115,12.3673332,11.62816655,63.20725779,0.99333652,,
BYDDY,2021-12-13,11.3,-0.09200482,-0.11993769,0.09886551,0.05955696,0.1412286,12.4374999,11.6788332,52.07643316,0.85448814,,
BYDDY,2021-12-20,11.515,0.01902655,-0.10435574,0.11850413,0.05955276,0.12488915,12.4119999,11.6735832,53.72433272,0.75311704,,
BYDDY,2021-12-27,11.25,-0.02301346,-0.09127625,0.06148769,0.05999714,0.14502848,12.2676666,11.6523332,51.37923299,0.6439731,,
BYDDY,2022-01-03,10.515,-0.06533333,-0.15508236,-0.10662702,0.05341855,0.20088662,12.1118333,11.63341655,45.45299678,0.49249027,,
BYDDY,2022-01-10,11.328333,0.07734979,0.00250735,-0.10753677,0.05325758,0.13907537,11.9288333,11.65266655,52.04464723,0.43307598,,
BYDDY,2022-01-17,10.878333,-0.03972341,-0.05529023,-0.09897847,0.05268589,0.17327423,11.7308333,11.64991655,48.54896421,0.34569354,,
BYDDY,2022-01-24,9.375,-0.13819516,-0.16666667,-0.28752373,0.05547653,0.28752373,11.3843333,11.5667499,39.10042245,0.15336799,0.63434109,-0.48097309
BYDDY,2022-01-31,10.25,0.09333333,-0.02520209,-0.20285157,0.06540109,0.22102595,11.1236666,11.53316655,45.72179251,0.07073837,0.52162054,-0.45088217
BYDDY,2022-02-07,9.73,-0.05073171,-0.14109163,-0.24221184,0.06590052,0.26054463,10.8586666,11.5054999,42.74724003,-0.03628756,0.41003892,-0.44632648
BYDDY,2022-02-14,10.33,0.06166495,-0.05040598,-0.19652582,0.06992355,0.21494615,10.6471666,11.5072499,47.0294272,-0.071863,0.31365854,-0.38552153
BYDDY,2022-02-21,10.251667,-0.00758306,0.09351115,-0.17191704,0.06962496,0.22089926,10.5423333,11.4899166,46.54001596,-0.10516533,0.22989377,-0.33505909
BYDDY,2022-02-28,8.94,-0.1279467,-0.12780488,-0.28163921,0.07665584,0.32058263,10.2848333,11.3484166,39.18636882,-0.23469283,0.13697645,-0.37166928
BYDDY,2022-03-07,7.908333,-0.11539899,-0.18722169,-0.30014752,0.07879819,0.39898671,9.9506666,11.1091666,34.560842,-0.41579816,0.02642153,-0.44221969
BYDDY,2022-03-14,9.463333,0.19662804,-0.08389806,-0.17817343,0.10150806,0.28081065,9.8454999,10.9786666,45.08307534,-0.42890577,-0.06464393,-0.36426184
BYDDY,2022-03-21,9.098333,-0.03856992,-0.11250209,-0.19125929,0.10176637,0.30854972,9.6224999,10.7756666,43.32220283,-0.46340426,-0.144396,-0.31900826
BYDDY,2022-03-28,9.633333,0.05880198,0.07755403,-0.0838485,0.10225727,0.26789108,9.4979999,10.6144166,46.6136737,-0.44247397,-0.2040116,-0.23846238
BYDDY,2022-04-04,10.015,0.03961941,0.26638572,-0.11593347,0.10013588,0.23888535,9.5619999,10.4731666,48.89383645,-0.39058679,-0.24132663,-0.14926016
BYDDY,2022-04-11,9.966667,-0.00482606,0.05318781,-0.08380567,0.09956226,0.24255854,9.5336666,10.3286666,48.6106898,-0.34933893,-0.26292909,-0.08640984
BYDDY,2022-04-18,9.685,-0.0282609,0.06448071,0.03306667,0.09062465,0.26396452,9.5291666,10.1939166,46.90593471,-0.33551032,-0.27744534,-0.05806498
BYDDY,2022-04-25,9.655,-0.00309757,0.00224917,-0.05804878,0.08639122,0.26624444,9.4616666,10.0544166,46.71800973,-0.32324563,-0.2866054,-0.03664023
BYDDY,2022-05-02,9.526667,-0.01329187,-0.04876016,-0.02089753,0.08512396,0.27599742,9.3891666,9.96574995,45.87136701,-0.32019021,-0.29332236,-0.02686785
BYDDY,2022-05-09,10.13,0.06333096,0.01638793,-0.01936108,0.08523233,0.23014564,9.5081666,9.89649995,50.42043065,-0.26601835,-0.28786156,0.02184321
BYDDY,2022-05-16,11.096667,0.09542616,0.14575808,0.08242562,0.08931115,0.1566814,9.827,9.8888333,56.69946314,-0.14343142,-0.25897553,0.11554411
BYDDY,2022-05-23,11.605,0.04580952,0.20196789,0.29809843,0.07828182,0.11804938,10.0411667,9.9433333,59.59719124,-0.00520221,-0.20822087,0.20301866
BYDDY,2022-05-30,12.183333,0.04983481,0.27886626,0.54056904,0.06476786,0.07409753,10.3496667,9.9860833,62.65891261,0.14929114,-0.13671846,0.28600961
BYDDY,2022-06-06,13.046667,0.07086189,0.28792369,0.37865454,0.04354295,0.00848633,10.6910001,10.0945,66.71400876,0.33750157,-0.04187446,0.37937603
BYDDY,2022-06-13,12.43,-0.04726625,0.12015617,0.36618433,0.04480514,0.05535146,10.9325001,10.24725,61.57067555,0.4319209,0.05288461,0.37903629
BYDDY,2022-06-20,13.15,0.05792438,0.13313227,0.36505195,0.04474963,0.00063329,11.2508334,10.39225,64.9667309,0.55840988,0.15398967,0.40442021
BYDDY,2022-06-27,13.286667,0.01039293,0.09056093,0.32667668,0.04480589,0.0,11.6110001,10.57008335,65.58836266,0.6620495,0.25560163,0.40644787
BYDDY,2022-07-04,13.748333,0.03474656,0.05378125,0.37943136,0.04387896,0.0,12.0203334,10.741,67.67496842,0.77253197,0.3589877,0.41354426
BYDDY,2022-07-11,12.541667,-0.08776817,0.00898367,0.29495787,0.05319344,0.08776817,12.3218334,10.8555,57.80832723,0.75403026,0.43799621,0.31603405
BYDDY,2022-07-18,11.905,-0.05076414,-0.09467681,0.23303988,0.05697117,0.13407684,12.4993334,11.00375,53.38573925,0.68015344,0.48642766,0.19372578
BYDDY,2022-07-25,12.173333,0.02253952,-0.08379332,0.27781658,0.0560505,0.11455934,12.607,11.217,54.9500632,0.63592718,0.51632756,0.11959962
BYDDY,2022-08-01,12.255,0.00670868,-0.1086192,0.20977295,0.05462827,0.1086192,12.672,11.35658335,55.44018997,0.60054469,0.53317099,0.0673737
