date,strategy,ticker,price,weekly_return,buy_multiplier,desired_amount,submitted_amount,submitted_size,cash_before_order
2024-09-23,fixed_weekly_dca,MSFT,428.019989,-0.01665633,1.0,100.0,0.0,0.0,0.0
2024-09-30,fixed_weekly_dca,MSFT,416.059998,-0.0279426,1.0,100.0,0.0,0.0,0.0
2024-10-07,fixed_weekly_dca,MSFT,416.320007,0.00062493,1.0,100.0,0.0,0.0,0.0
2024-10-14,fixed_weekly_dca,MSFT,418.160004,0.00441967,1.0,100.0,0.0,0.0,0.0
2024-10-21,fixed_weekly_dca,MSFT,428.149994,0.02389035,1.0,100.0,0.0,0.0,0.0
2024-10-28,fixed_weekly_dca,MSFT,410.369995,-0.0415275,1.0,100.0,0.0,0.0,0.0
2024-11-04,fixed_weekly_dca,MSFT,422.540009,0.0296562,1.0,100.0,0.0,0.0,0.0
2024-11-11,fixed_weekly_dca,MSFT,415.0,-0.01784449,1.0,100.0,0.0,0.0,0.0
2024-11-18,fixed_weekly_dca,MSFT,417.0,0.00481928,1.0,100.0,0.0,0.0,0.0
2024-11-25,fixed_weekly_dca,MSFT,423.459991,0.01549159,1.0,100.0,0.0,0.0,0.0
2024-12-02,fixed_weekly_dca,MSFT,443.570007,0.04748977,1.0,100.0,0.0,0.0,0.0
2024-12-09,fixed_weekly_dca,MSFT,447.269989,0.00834137,1.0,100.0,0.0,0.0,0.0
2024-12-16,fixed_weekly_dca,MSFT,436.600006,-0.0238558,1.0,100.0,0.0,0.0,0.0
2024-12-23,fixed_weekly_dca,MSFT,430.529999,-0.0139029,1.0,100.0,0.0,0.0,0.0
2024-12-30,fixed_weekly_dca,MSFT,423.350006,-0.0166771,1.0,100.0,0.0,0.0,0.0
2025-01-06,fixed_weekly_dca,MSFT,418.950012,-0.01039328,1.0,100.0,0.0,0.0,0.0
2025-01-13,fixed_weekly_dca,MSFT,429.029999,0.02406012,1.0,100.0,0.0,0.0,0.0
2025-01-20,fixed_weekly_dca,MSFT,444.059998,0.03503251,1.0,100.0,0.0,0.0,0.0
2025-01-27,fixed_weekly_dca,MSFT,415.059998,-0.06530649,1.0,100.0,0.0,0.0,0.0
2025-02-03,fixed_weekly_dca,MSFT,409.75,-0.01279333,1.0,100.0,0.0,0.0,0.0
2025-02-10,fixed_weekly_dca,MSFT,408.429993,-0.00322149,1.0,100.0,0.0,0.0,0.0
2025-02-17,fixed_weekly_dca,MSFT,408.209991,-0.00053865,1.0,100.0,0.0,0.0,0.0
2025-02-24,fixed_weekly_dca,MSFT,396.98999,-0.02748586,1.0,100.0,0.0,0.0,0.0
2025-03-03,fixed_weekly_dca,MSFT,393.309998,-0.00926973,1.0,100.0,0.0,0.0,0.0
2025-03-10,fixed_weekly_dca,MSFT,388.559998,-0.01207699,1.0,100.0,0.0,0.0,0.0
2025-03-17,fixed_weekly_dca,MSFT,391.26001,0.00694876,1.0,100.0,0.0,0.0,0.0
2025-03-24,fixed_weekly_dca,MSFT,378.799988,-0.03184589,1.0,100.0,0.0,0.0,0.0
2025-03-31,fixed_weekly_dca,MSFT,359.839996,-0.05005278,1.0,100.0,0.0,0.0,0.0
2025-04-07,fixed_weekly_dca,MSFT,388.450012,0.0795076,1.0,100.0,0.0,0.0,0.0
2025-04-14,fixed_weekly_dca,MSFT,367.779999,-0.05321151,1.0,100.0,0.0,0.0,0.0
2025-04-21,fixed_weekly_dca,MSFT,391.850006,0.06544675,1.0,100.0,0.0,0.0,0.0
2025-04-28,fixed_weekly_dca,MSFT,435.279999,0.11083321,1.0,100.0,0.0,0.0,0.0
2025-05-05,fixed_weekly_dca,MSFT,438.730011,0.00792596,1.0,100.0,0.0,0.0,0.0
2025-05-12,fixed_weekly_dca,MSFT,454.269989,0.03542037,1.0,100.0,0.0,0.0,0.0
2025-05-19,fixed_weekly_dca,MSFT,450.179993,-0.00900345,1.0,100.0,0.0,0.0,0.0
2025-05-26,fixed_weekly_dca,MSFT,460.359985,0.02261316,1.0,100.0,0.0,0.0,0.0
2025-06-02,fixed_weekly_dca,MSFT,470.380005,0.02176562,1.0,100.0,0.0,0.0,0.0
2025-06-09,fixed_weekly_dca,MSFT,474.959991,0.00973678,1.0,100.0,0.0,0.0,0.0
2025-06-16,fixed_weekly_dca,MSFT,477.399994,0.00513728,1.0,100.0,0.0,0.0,0.0
2025-06-23,fixed_weekly_dca,MSFT,495.940002,0.03883538,1.0,100.0,0.0,0.0,0.0
2025-06-30,fixed_weekly_dca,MSFT,498.839996,0.00584747,1.0,100.0,0.0,0.0,0.0
2025-07-07,fixed_weekly_dca,MSFT,503.320007,0.00898086,1.0,100.0,0.0,0.0,0.0
2025-07-14,fixed_weekly_dca,MSFT,510.049988,0.01337118,1.0,100.0,0.0,0.0,0.0
2025-07-21,fixed_weekly_dca,MSFT,513.710022,0.00717583,1.0,100.0,0.0,0.0,0.0
2025-07-28,fixed_weekly_dca,MSFT,524.109985,0.02024481,1.0,100.0,0.0,0.0,0.0
2025-08-04,fixed_weekly_dca,MSFT,522.039978,-0.00394957,1.0,100.0,0.0,0.0,0.0
2025-08-11,fixed_weekly_dca,MSFT,520.169983,-0.00358209,1.0,100.0,0.0,0.0,0.0
2025-08-18,fixed_weekly_dca,MSFT,507.230011,-0.02487643,1.0,100.0,0.0,0.0,0.0
2025-08-25,fixed_weekly_dca,MSFT,506.690002,-0.00106462,1.0,100.0,0.0,0.0,0.0
2025-09-01,fixed_weekly_dca,MSFT,495.0,-0.02307131,1.0,100.0,0.0,0.0,0.0
2025-09-08,fixed_weekly_dca,MSFT,509.899994,0.030101,1.0,100.0,0.0,0.0,0.0
2025-09-15,fixed_weekly_dca,MSFT,517.929993,0.01574818,1.0,100.0,0.0,0.0,0.0
2025-09-22,fixed_weekly_dca,MSFT,511.459991,-0.01249204,1.0,100.0,0.0,0.0,0.0
2025-09-29,fixed_weekly_dca,MSFT,517.349976,0.01151602,1.0,100.0,0.0,0.0,0.0
2025-10-06,fixed_weekly_dca,MSFT,510.959991,-0.01235138,1.0,100.0,0.0,0.0,0.0
2025-10-13,fixed_weekly_dca,MSFT,513.580017,0.00512765,1.0,100.0,0.0,0.0,0.0
2025-10-20,fixed_weekly_dca,MSFT,523.609985,0.01952951,1.0,100.0,0.0,0.0,0.0
2025-10-27,fixed_weekly_dca,MSFT,517.809998,-0.01107692,1.0,100.0,0.0,0.0,0.0
2025-11-03,fixed_weekly_dca,MSFT,496.820007,-0.04053609,1.0,100.0,0.0,0.0,0.0
2025-11-10,fixed_weekly_dca,MSFT,510.179993,0.026891,1.0,100.0,0.0,0.0,0.0
2025-11-17,fixed_weekly_dca,MSFT,472.119995,-0.07460112,1.0,100.0,0.0,0.0,0.0
2025-11-24,fixed_weekly_dca,MSFT,492.01001,0.04212915,1.0,100.0,0.0,0.0,0.0
2025-12-01,fixed_weekly_dca,MSFT,483.160004,-0.01798745,1.0,100.0,0.0,0.0,0.0
2025-12-08,fixed_weekly_dca,MSFT,478.529999,-0.00958276,1.0,100.0,0.0,0.0,0.0
2025-12-15,fixed_weekly_dca,MSFT,485.920013,0.01544316,1.0,100.0,0.0,0.0,0.0
2025-12-22,fixed_weekly_dca,MSFT,487.709991,0.00368369,1.0,100.0,0.0,0.0,0.0
2025-12-29,fixed_weekly_dca,MSFT,472.940002,-0.03028437,1.0,100.0,0.0,0.0,0.0
2026-01-05,fixed_weekly_dca,MSFT,479.279999,0.0134055,1.0,100.0,0.0,0.0,0.0
2026-01-12,fixed_weekly_dca,MSFT,459.859985,-0.04051914,1.0,100.0,0.0,0.0,0.0
2026-01-19,fixed_weekly_dca,MSFT,465.950012,0.01324322,1.0,100.0,0.0,0.0,0.0
2026-01-26,fixed_weekly_dca,MSFT,430.290009,-0.07653182,1.0,100.0,0.0,0.0,0.0
2026-02-02,fixed_weekly_dca,MSFT,401.140015,-0.06774499,1.0,100.0,0.0,0.0,0.0
2026-02-09,fixed_weekly_dca,MSFT,401.320007,0.0004487,1.0,100.0,0.0,0.0,0.0
2026-02-16,fixed_weekly_dca,MSFT,397.230011,-0.01019136,1.0,100.0,0.0,0.0,0.0
2026-02-23,fixed_weekly_dca,MSFT,392.73999,-0.01130333,1.0,100.0,0.0,0.0,0.0
2026-03-02,fixed_weekly_dca,MSFT,408.959991,0.04129959,1.0,100.0,0.0,0.0,0.0
2026-03-09,fixed_weekly_dca,MSFT,395.549988,-0.0327905,1.0,100.0,0.0,0.0,0.0
2026-03-16,fixed_weekly_dca,MSFT,381.869995,-0.03458474,1.0,100.0,0.0,0.0,0.0
2026-03-23,fixed_weekly_dca,MSFT,356.769989,-0.06572919,0.5,50.0,0.0,0.0,0.0
2026-03-30,fixed_weekly_dca,MSFT,373.459991,0.04678085,1.0,100.0,0.0,0.0,0.0
2026-04-06,fixed_weekly_dca,MSFT,370.869995,-0.00693514,1.0,100.0,0.0,0.0,0.0
2026-04-13,fixed_weekly_dca,MSFT,422.790009,0.13999519,1.0,100.0,0.0,0.0,0.0
2026-04-20,fixed_weekly_dca,MSFT,424.619995,0.00432836,1.0,100.0,0.0,0.0,0.0
2026-04-27,fixed_weekly_dca,MSFT,414.440002,-0.02397436,1.0,100.0,0.0,0.0,0.0
2026-05-04,fixed_weekly_dca,MSFT,415.119995,0.00164075,1.0,100.0,0.0,0.0,0.0
2026-05-11,fixed_weekly_dca,MSFT,421.920013,0.01638085,1.0,100.0,0.0,0.0,0.0
2026-05-18,fixed_weekly_dca,MSFT,418.570007,-0.00793991,1.0,100.0,0.0,0.0,0.0
2026-05-25,fixed_weekly_dca,MSFT,450.23999,0.07566233,1.0,100.0,0.0,0.0,0.0
2026-06-01,fixed_weekly_dca,MSFT,416.670013,-0.07456019,1.0,100.0,0.0,0.0,0.0
2026-06-05,fixed_weekly_dca,MSFT,416.670013,0.0,1.0,100.0,0.0,0.0,0.0
2021-06-14,fixed_weekly_dca,NVDA,18.63875,0.04563745,1.0,100.0,100.0,5.36516666,10000.0
