task,target,model,importance_type,feature,value
regression,forward_12w_return,ridge,coefficient,numeric__rsi_14,-0.0481929297
regression,forward_12w_return,ridge,coefficient,numeric__macd,-0.0051306381
regression,forward_12w_return,ridge,coefficient,categorical__ticker_AAPL,-0.0204499902
regression,forward_12w_return,ridge,coefficient,categorical__ticker_ASML,-0.0373436707
regression,forward_12w_return,ridge,coefficient,categorical__ticker_BYDDY,-0.0056476244
regression,forward_12w_return,ridge,coefficient,categorical__ticker_KO,-0.0593060317
regression,forward_12w_return,ridge,coefficient,categorical__ticker_MSFT,-0.0150053239
regression,forward_12w_return,ridge,coefficient,categorical__ticker_NVDA,0.1377526408
regression,forward_12w_return,random_forest_regressor,feature_importance,numeric__weekly_return,0.0079661529
regression,forward_12w_return,random_forest_regressor,feature_importance,numeric__momentum_4w,0.0531686801
regression,forward_12w_return,random_forest_regressor,feature_importance,numeric__momentum_12w,0.0854795249
regression,forward_12w_return,random_forest_regressor,feature_importance,numeric__volatility_12w,0.1214567789
regression,forward_12w_return,random_forest_regressor,feature_importance,numeric__drawdown_from_52w_high,0.0848022378
regression,forward_12w_return,random_forest_regressor,feature_importance,numeric__sma_10_distance,0.034638059
regression,forward_12w_return,random_forest_regressor,feature_importance,numeric__sma_20_distance,0.0674414245
regression,forward_12w_return,random_forest_regressor,feature_importance,numeric__rsi_14,0.0244486792
regression,forward_12w_return,random_forest_regressor,feature_importance,numeric__macd,0.3047689246
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_AAPL,5.39265e-05
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_ASML,0.0013485472
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_BYDDY,0.0053159655
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_KO,3.5173e-05
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_MSFT,0.0005050622
regression,forward_12w_return,random_forest_regressor,feature_importance,categorical__ticker_NVDA,0.2085708636
classification,forward_4w_positive,logistic_regression,coefficient,numeric__weekly_return,0.0012784713
classification,forward_4w_positive,logistic_regression,coefficient,numeric__momentum_4w,0.2049132355
