date,breakdown_type,group,factor,horizon,n,total_rows,coverage,rank_ic,pearson_corr
2015-05-22,category,international,volatility_12w,1w,4,4,1.0,-0.2,-0.41748902
2015-05-22,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.07142857,-0.15988279
2015-05-29,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.82857143,0.82377183
2015-05-29,category,core_technology,volatility_12w,1w,6,6,1.0,-0.14285714,-0.34080998
2015-05-29,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.08571429,0.07454209
2015-05-29,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.9,-0.83354482
2015-05-29,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.2,0.22190942
2015-05-29,category,international,volatility_12w,1w,4,4,1.0,0.2,0.21497757
2015-05-29,category,semiconductors,volatility_12w,1w,7,7,1.0,0.28571429,0.18944436
2015-06-05,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.71428571,0.59646844
2015-06-05,category,core_technology,volatility_12w,1w,6,6,1.0,0.42857143,-0.10267991
2015-06-05,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.08571429,-0.24404329
2015-06-05,category,financial_payments,volatility_12w,1w,5,5,1.0,0.2,-0.13985132
2015-06-05,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.8,-0.42308126
2015-06-05,category,international,volatility_12w,1w,4,4,1.0,0.8,0.56010795
2015-06-05,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.10714286,0.01066895
2015-06-12,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.02857143,0.42948857
2015-06-12,category,core_technology,volatility_12w,1w,6,6,1.0,0.2,0.38078199
2015-06-12,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.25714286,-0.00150053
2015-06-12,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.3,-0.30694163
2015-06-12,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.8,-0.53724422
2015-06-12,category,international,volatility_12w,1w,4,4,1.0,-0.8,-0.90217221
2015-06-12,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.17857143,-0.03380635
2015-06-19,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.37142857,0.23135121
2015-06-19,category,core_technology,volatility_12w,1w,6,6,1.0,-0.37142857,-0.54175028
2015-06-19,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.88571429,0.91213591
2015-06-19,category,financial_payments,volatility_12w,1w,5,5,1.0,0.2,-0.17459437
2015-06-19,category,industrial_diversified,volatility_12w,1w,4,4,1.0,0.6,-0.1526593
2015-06-19,category,international,volatility_12w,1w,4,4,1.0,0.0,-0.50246232
2015-06-19,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.28571429,-0.0763711
2015-06-26,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.14285714,0.02649736
2015-06-26,category,core_technology,volatility_12w,1w,6,6,1.0,-0.08571429,-0.23179633
2015-06-26,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.2,-0.28248899
2015-06-26,category,financial_payments,volatility_12w,1w,5,5,1.0,0.1,0.49157435
2015-06-26,category,industrial_diversified,volatility_12w,1w,4,4,1.0,0.4,0.17603585
2015-06-26,category,international,volatility_12w,1w,4,4,1.0,-0.2,-0.74614538
2015-06-26,category,semiconductors,volatility_12w,1w,7,7,1.0,0.14285714,0.18244778
2015-07-02,category,consumer_retail,volatility_12w,1w,6,6,1.0,-0.25714286,-0.53904762
2015-07-02,category,core_technology,volatility_12w,1w,6,6,1.0,0.2,0.26286662
2015-07-02,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.94285714,-0.87017525
2015-07-02,category,financial_payments,volatility_12w,1w,5,5,1.0,0.1,0.15593223
2015-07-02,category,industrial_diversified,volatility_12w,1w,4,4,1.0,0.0,0.12011946
2015-07-02,category,international,volatility_12w,1w,4,4,1.0,-0.8,-0.90111768
2015-07-02,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.75,-0.58495318
2015-07-10,category,consumer_retail,volatility_12w,1w,6,6,1.0,-0.02857143,0.43502576
2015-07-10,category,core_technology,volatility_12w,1w,6,6,1.0,-0.02857143,-0.26457832
2015-07-10,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.2,0.13644621
2015-07-10,category,financial_payments,volatility_12w,1w,5,5,1.0,0.8,0.63842198
2015-07-10,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.8,-0.92590947
2015-07-10,category,international,volatility_12w,1w,4,4,1.0,-0.2,-0.85644543
2015-07-10,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.10714286,-0.18191878
2015-07-17,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.25714286,0.17300804
2015-07-17,category,core_technology,volatility_12w,1w,6,6,1.0,-0.37142857,-0.40567552
2015-07-17,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.65714286,-0.82974145
2015-07-17,category,financial_payments,volatility_12w,1w,5,5,1.0,0.0,0.22575647
2015-07-17,category,industrial_diversified,volatility_12w,1w,4,4,1.0,0.0,-0.1863153
2015-07-17,category,international,volatility_12w,1w,4,4,1.0,-0.4,-0.52121181
2015-07-17,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.64285714,-0.75986892
2015-07-24,category,consumer_retail,volatility_12w,1w,6,6,1.0,-0.6,-0.61840059
2015-07-24,category,core_technology,volatility_12w,1w,6,6,1.0,0.14285714,0.21097601
2015-07-24,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.48571429,0.31344142
2015-07-24,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.3,-0.49488057
2015-07-24,category,industrial_diversified,volatility_12w,1w,4,4,1.0,0.8,0.8334044
2015-07-24,category,international,volatility_12w,1w,4,4,1.0,-0.4,-0.21955209
2015-07-24,category,semiconductors,volatility_12w,1w,7,7,1.0,0.07142857,0.42878627
2015-07-31,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.48571429,0.33570806
2015-07-31,category,core_technology,volatility_12w,1w,6,6,1.0,0.65714286,0.11156348
2015-07-31,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.31428571,-0.1384903
2015-07-31,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.6,-0.16608115
2015-07-31,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.4,-0.40596785
2015-07-31,category,international,volatility_12w,1w,4,4,1.0,1.0,0.96531841
2015-07-31,category,semiconductors,volatility_12w,1w,7,7,1.0,0.78571429,0.78998863
2015-08-07,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.08571429,-0.16915997
2015-08-07,category,core_technology,volatility_12w,1w,6,6,1.0,0.77142857,0.93918883
2015-08-07,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.25714286,0.13971172
2015-08-07,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.3,0.05064288
2015-08-07,category,industrial_diversified,volatility_12w,1w,4,4,1.0,0.4,0.10062312
2015-08-07,category,international,volatility_12w,1w,4,4,1.0,-0.6,-0.59640818
2015-08-07,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.35714286,-0.79604278
2015-08-14,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.65714286,0.53875717
2015-08-14,category,core_technology,volatility_12w,1w,6,6,1.0,0.48571429,0.55639614
2015-08-14,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,-0.54285714,-0.62836628
2015-08-14,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.1,-0.14224781
2015-08-14,category,industrial_diversified,volatility_12w,1w,4,4,1.0,0.4,0.35166001
2015-08-14,category,international,volatility_12w,1w,4,4,1.0,-0.8,-0.96946676
2015-08-14,category,semiconductors,volatility_12w,1w,7,7,1.0,-0.21428571,0.02872578
2015-08-21,category,consumer_retail,volatility_12w,1w,6,6,1.0,0.37142857,0.39705814
2015-08-21,category,core_technology,volatility_12w,1w,6,6,1.0,0.02857143,-0.26486966
2015-08-21,category,defensive_healthcare,volatility_12w,1w,6,6,1.0,0.37142857,0.39184748
2015-08-21,category,financial_payments,volatility_12w,1w,5,5,1.0,-0.5,-0.07773108
2015-08-21,category,industrial_diversified,volatility_12w,1w,4,4,1.0,-0.4,-0.87480555
