group,factor,horizon,ic_periods,sample_count,average_group_n,mean_coverage,mean_rank_ic,median_rank_ic,positive_rank_ic_rate,mean_pearson_corr,overall_mean_rank_ic,direction_vs_overall
consumer_retail,macd,4w,569,3414,6.0,1.0,-0.01491338,-0.02857143,0.49209139,-0.02524385,-0.00379745,same_direction_stronger
core_technology,macd,4w,569,3414,6.0,1.0,-0.08199849,-0.08571429,0.42530756,-0.08110164,-0.00379745,same_direction_stronger
core_technology,momentum_12w,12w,574,3444,6.0,1.0,0.08780488,0.08571429,0.55400697,0.10834475,0.04121375,same_direction_stronger
semiconductors,momentum_12w,12w,574,4018,7.0,1.0,0.05991787,0.03571429,0.52439024,0.06363967,0.04121375,same_direction_stronger
international,momentum_12w,12w,574,2296,4.0,1.0,0.01463415,0.0,0.47038328,0.00418697,0.04121375,same_direction_weaker
financial_payments,momentum_12w,12w,574,2870,5.0,1.0,-0.00696864,0.0,0.4825784,-0.00200375,0.04121375,reversed
industrial_diversified,momentum_12w,12w,574,2296,4.0,1.0,-0.01114983,0.0,0.43902439,0.02577819,0.04121375,reversed
defensive_healthcare,momentum_12w,12w,574,3444,6.0,1.0,-0.0149328,-0.02857143,0.47909408,-0.01559267,0.04121375,reversed
consumer_retail,momentum_12w,12w,574,3444,6.0,1.0,-0.02847188,-0.08571429,0.44425087,-0.04862459,0.04121375,reversed
international,momentum_12w,1w,585,2340,4.0,1.0,0.04273504,0.0,0.4991453,0.04622162,0.01113164,same_direction_stronger
core_technology,momentum_12w,1w,585,3510,6.0,1.0,0.01343101,0.02857143,0.51111111,0.02784776,0.01113164,same_direction_stronger
financial_payments,momentum_12w,1w,585,2925,5.0,1.0,0.00683761,0.0,0.49401709,0.00402092,0.01113164,same_direction_weaker
semiconductors,momentum_12w,1w,585,4095,7.0,1.0,0.0047619,0.03571429,0.50940171,-0.00093406,0.01113164,same_direction_weaker
consumer_retail,momentum_12w,1w,585,3510,6.0,1.0,-0.00200244,0.02857143,0.5008547,-0.00128178,0.01113164,reversed
industrial_diversified,momentum_12w,1w,585,2340,4.0,1.0,-0.00683761,0.0,0.45470085,0.00873718,0.01113164,reversed
defensive_healthcare,momentum_12w,1w,585,3510,6.0,1.0,-0.02984127,-0.02857143,0.48547009,-0.04011175,0.01113164,reversed
core_technology,momentum_12w,4w,582,3492,6.0,1.0,0.05076092,0.02857143,0.55841924,0.05965066,0.03094672,same_direction_stronger
international,momentum_12w,4w,582,2328,4.0,1.0,0.04329897,0.0,0.47250859,0.02449896,0.03094672,same_direction_stronger
semiconductors,momentum_12w,4w,582,4074,7.0,1.0,0.03332106,0.03571429,0.51546392,0.02153767,0.03094672,same_direction_stronger
industrial_diversified,momentum_12w,4w,582,2328,4.0,1.0,0.03058419,0.0,0.4862543,0.05338263,0.03094672,same_direction_weaker
financial_payments,momentum_12w,4w,582,2910,5.0,1.0,0.00945017,0.0,0.49312715,0.01893886,0.03094672,same_direction_weaker
consumer_retail,momentum_12w,4w,582,3492,6.0,1.0,0.00549828,-0.02857143,0.47766323,0.00314003,0.03094672,same_direction_weaker
defensive_healthcare,momentum_12w,4w,582,3492,6.0,1.0,-0.05135002,-0.08571429,0.4467354,-0.04861525,0.03094672,reversed
