ticker,date,close,weekly_return,momentum_4w,momentum_12w,volatility_12w,drawdown_from_52w_high,sma_10,sma_20,sma_10_distance,sma_20_distance,rsi_14,macd,macd_signal,macd_histogram
AAPL,2015-01-02,27.3325,,,,,0.0,,,,,,,,
AAPL,2015-01-09,28.002501,0.02451298,,,,0.0,,,,,,,,
AAPL,2015-01-16,26.497499,-0.05374527,,,,0.05374527,,,,,,,,
AAPL,2015-01-23,28.245001,0.0659497,,,,0.0,,,,,,,,
AAPL,2015-01-30,29.290001,0.0369977,0.07161807,,,0.0,,,,,,,,
AAPL,2015-02-06,29.7325,0.01510751,0.06178016,,,0.0,,,,,,,,
AAPL,2015-02-13,31.77,0.06852771,0.19898108,,,0.0,,,,,,,,
AAPL,2015-02-20,32.375,0.01904312,0.14622053,,,0.0,,,,,,,,
AAPL,2015-02-27,32.115002,-0.00803083,0.09644933,,,0.00803083,,,,,,,,
AAPL,2015-03-06,31.65,-0.01447928,0.06449172,,,0.02239382,29.7010004,,0.06562067,,,,,
AAPL,2015-03-13,30.897499,-0.0237757,-0.02746305,,,0.0456371,30.0575003,,0.02794639,,,,,
AAPL,2015-03-20,31.475,0.01869087,-0.02779923,,,0.02779923,30.4047502,,0.03520009,,,,,
AAPL,2015-03-27,30.8125,-0.02104845,-0.04055743,0.12732095,0.03663873,0.04826255,30.8362503,,-0.00077021,,,,,
AAPL,2015-04-02,31.33,0.01679513,-0.01011058,0.11882864,0.03644038,0.03227799,31.1447502,,0.00594803,,67.70763178,,,
AAPL,2015-04-10,31.775,0.01420364,0.02840039,0.19916978,0.03041532,0.01853282,31.3932501,,0.01216025,,68.93244291,,,
AAPL,2015-04-17,31.1875,-0.01848938,-0.00913423,0.10417769,0.02733601,0.03667954,31.5387501,,-0.0111371,,65.4053643,,,
AAPL,2015-04-24,32.57,0.04432866,0.05703854,0.11198357,0.02809892,0.0,31.6187501,,0.03008499,,69.37628566,,,
AAPL,2015-05-01,32.237499,-0.01020881,0.02896582,0.08425121,0.02856481,0.01020881,31.605,,0.02001262,,67.37327759,,,
AAPL,2015-05-08,31.905001,-0.01031401,0.0040913,0.00424932,0.02130301,0.02041753,31.5839999,,0.01016341,,65.34165719,,,
AAPL,2015-05-15,32.192501,0.00901113,0.03222448,-0.00563703,0.02070003,0.01159039,31.63825,30.6696252,0.01751838,0.0496542,66.28826374,,,
AAPL,2015-05-22,33.134998,0.02927691,0.01734719,0.03176073,0.02217837,0.0,31.8619999,30.9597501,0.03995349,0.07026051,69.25303241,,,
AAPL,2015-05-29,32.57,-0.0170514,0.01031411,0.02906793,0.02237247,0.0170514,31.9714999,31.18812505,0.0187198,0.04430773,65.53239499,,,
AAPL,2015-06-05,32.162498,-0.01251158,0.00807074,0.04094179,0.02137862,0.02934963,32.1064997,31.471375,0.00174414,0.02196037,62.90728785,,,
AAPL,2015-06-12,31.7925,-0.01150402,-0.01242529,0.01008737,0.02121174,0.04051601,32.1527497,31.64874995,-0.01120432,0.00454205,60.53613264,,,
AAPL,2015-06-19,31.65,-0.00448219,-0.0448166,0.02718053,0.02015625,0.0448166,32.1402497,31.7667499,-0.01525345,-0.00367522,59.6043024,,,
AAPL,2015-06-26,31.6875,0.00118483,-0.02709549,0.01141079,0.0196414,0.04368487,32.1902497,31.8644999,-0.01561807,-0.00555477,59.77975827,0.77817893,,
AAPL,2015-07-02,31.610001,-0.00244573,-0.0171783,-0.00519273,0.01921665,0.04602375,32.0942498,31.85649995,-0.01508834,-0.00773779,59.20741263,0.70592356,,
AAPL,2015-07-10,30.82,-0.02499212,-0.03058898,-0.01178357,0.01985819,0.06986564,31.9524999,31.77874995,-0.03544323,-0.03016953,53.57631231,0.57824849,,
AAPL,2015-07-17,32.404999,0.05142761,0.02385463,-0.00506604,0.02137305,0.02203106,32.0024997,31.7932498,0.01257712,0.01924148,61.48996717,0.59806711,,
AAPL,2015-07-24,31.125,-0.03950005,-0.01775148,-0.03450947,0.02411465,0.06066088,31.8957496,31.7669998,-0.02416465,-0.02020965,53.55089859,0.50467076,,
AAPL,2015-07-31,30.325001,-0.02570278,-0.04065169,-0.04952202,0.02495338,0.0848045,31.6147499,31.7383749,-0.0407958,-0.04453202,49.26929789,0.36192816,,
AAPL,2015-08-07,28.879999,-0.04765052,-0.06294617,-0.1028967,0.02750971,0.12841404,31.2457498,31.60862485,-0.07571432,-0.08632536,42.63798183,0.13069743,,
AAPL,2015-08-14,28.99,0.0038089,-0.10538494,-0.12509426,0.02520228,0.12509426,30.9285,31.51749985,-0.06267682,-0.08019354,43.2640114,-0.04318066,,
AAPL,2015-08-21,26.440001,-0.08796133,-0.15052206,-0.18820998,0.03368924,0.20205213,30.3932501,31.2729999,-0.13006997,-0.15454222,34.00036338,-0.38233657,0.35913302,-0.74146959
AAPL,2015-08-28,28.3225,0.0711989,-0.06603466,-0.11939365,0.04222057,0.14523912,30.0605001,31.1003749,-0.05781674,-0.08931966,43.60111448,-0.49352904,0.18860061,-0.68212965
AAPL,2015-09-04,27.317499,-0.03548419,-0.05410319,-0.1407565,0.04287521,0.17556962,29.6235,30.90687485,-0.07784364,-0.11613519,40.23603543,-0.65519241,0.01984201,-0.67503441
AAPL,2015-09-11,28.5525,0.04520915,-0.01509141,-0.0978673,0.04592836,0.13829782,29.3177499,30.70599985,-0.02610193,-0.07013287,45.77446948,-0.67586656,-0.11929971,-0.55656685
AAPL,2015-09-18,28.362499,-0.00665444,0.07271172,-0.104931,0.0458481,0.14403197,29.0719998,30.51224985,-0.02440495,-0.07045534,45.08227729,-0.69951885,-0.23534354,-0.46417532
AAPL,2015-09-25,28.6775,0.01110625,0.0125342,-0.0927713,0.04616929,0.13452537,28.6992499,30.3508748,-0.00075786,-0.05513432,46.52600968,-0.68494984,-0.3252648,-0.35968504
AAPL,2015-10-02,27.594999,-0.0377474,0.01015832,-0.10463988,0.0467617,0.16719479,28.3462498,30.1209997,-0.02650265,-0.08386178,42.40077179,-0.75208303,-0.41062844,-0.34145459
AAPL,2015-10-09,28.030001,0.0157638,-0.01829959,-0.13500997,0.04366059,0.15406662,28.1167498,29.86574985,-0.00308531,-0.06146669,44.52922947,-0.7614085,-0.48078445,-0.28062404
AAPL,2015-10-16,27.76,-0.00963257,-0.0212428,-0.10811245,0.04273813,0.16221513,28.0047499,29.62524985,-0.00873959,-0.06296149,43.45584488,-0.7815763,-0.54094282,-0.24063348
AAPL,2015-10-23,29.77,0.07240634,0.03809607,-0.01830176,0.048212,0.10155419,28.0827499,29.50562495,0.06008137,0.00896016,52.61342743,-0.62812855,-0.55837997,-0.06974858
AAPL,2015-10-30,29.875,0.00352704,0.0826237,0.03445294,0.04586547,0.09838534,28.4262498,29.40974995,0.05096522,0.01581959,53.04127332,-0.49237172,-0.54517832,0.05280659
AAPL,2015-11-06,30.264999,0.01305436,0.07973592,0.04398065,0.04594331,0.08661534,28.6204997,29.3404999,0.05745879,0.03150932,54.67808674,-0.34928744,-0.50600014,0.15671271
