ticker,date,close,weekly_return,momentum_4w,momentum_12w,volatility_12w,drawdown_from_52w_high,sma_10,sma_20,sma_10_distance,sma_20_distance,rsi_14,macd,macd_signal,macd_histogram
INTC,2026-06-12,124.57,0.25612587,0.14526067,1.83952594,0.14656856,0.00280178,100.4989994,73.25649985,0.23951483,0.70046344,71.27036343,20.77039478,15.90443362,4.86596116
AXP,2026-06-12,325.440002,0.04757612,0.03815232,0.1013198,0.03233114,0.1493099,317.2809998,318.28099825,0.02571538,0.02249271,50.7568338,-5.84710661,-6.67310742,0.82600081
MU,2026-06-12,981.609985,0.13610951,0.35458011,1.32113975,0.15083618,0.0,695.3679992,547.91199945,0.41164101,0.79154679,78.62856881,160.0113781,112.61875952,47.39261859
MRK,2026-06-12,119.050003,-0.01440515,0.06886341,0.04265198,0.03985968,0.03852364,116.8280007,117.7025006,0.01901943,0.01144838,58.13615706,4.1724721,4.8977161,-0.725244
MCD,2026-06-12,284.809998,0.01776016,0.03046414,-0.07783716,0.02256447,0.16492699,288.1299988,304.8869996,-0.01152258,-0.06585063,39.58641176,-8.60156239,-5.40444626,-3.19711613
PG,2026-06-12,149.610001,0.02094997,0.05679165,0.03694207,0.01628718,0.10520333,145.9669984,149.65249945,0.02495771,-0.00028398,51.59041788,-1.57239272,-1.71762062,0.1452279
TSM,2026-06-15,441.399994,0.04120964,0.0911698,0.35092124,0.03633711,0.0,409.0130004,379.66399995,0.07918329,0.16260692,76.28817512,32.23980346,29.09521534,3.14458813
ASML,2026-06-15,1892.660034,0.01562072,0.15907894,0.45313142,0.0642689,0.0,1608.1960206,1493.7725098,0.17688392,0.26703365,76.51472278,162.11456178,132.14120653,29.97335525
META,2026-06-15,593.47998,0.04673886,-0.02749653,0.12888993,0.06347597,0.24419597,619.2419982,618.9879974,-0.0416025,-0.04120923,45.469544,-16.43306843,-14.09399394,-2.33907449
BABA,2026-06-15,112.550003,-0.00239317,-0.13423075,-0.08264731,0.05231957,0.40142529,128.1629998,132.9454999,-0.12182141,-0.15341247,35.60255734,-7.71243817,-5.46809143,-2.24434674
