strategy,symbol,signal_date,execution_date,status,execution_price,gross_invested,commission,slippage_cost,base,extra,crash
dca_l2_v2,KO,2021-06-21,2021-06-22,executed,46.89213035,3.75,0.0,0.0,3.75,0.0,0.0
fixed,BYDDY,2021-06-28,2021-06-29,executed,9.86131419,30.0,0.03,0.01,22.5,0.0,7.5
reserve_fixed,BYDDY,2021-06-28,2021-06-29,executed,9.86131419,22.5,0.02,0.01,22.5,0.0,0.0
fixed,MSFT,2021-06-28,2021-06-29,executed,258.16268583,22.0,0.02,0.01,16.5,0.0,5.5
reserve_fixed,MSFT,2021-06-28,2021-06-29,executed,258.16268583,16.5,0.02,0.01,16.5,0.0,0.0
fixed,NVDA,2021-06-28,2021-06-29,executed,19.82387699,18.0,0.02,0.01,13.5,0.0,4.5
reserve_fixed,NVDA,2021-06-28,2021-06-29,executed,19.82387699,13.5,0.01,0.01,13.5,0.0,0.0
fixed,AAPL,2021-06-28,2021-06-29,executed,131.46226828,15.0,0.01,0.01,11.25,0.0,3.75
reserve_fixed,AAPL,2021-06-28,2021-06-29,executed,131.46226828,11.25,0.01,0.01,11.25,0.0,0.0
fixed,ASML,2021-06-28,2021-06-29,executed,668.14299855,10.0,0.01,0.01,7.5,0.0,2.5
reserve_fixed,ASML,2021-06-28,2021-06-29,executed,668.14299855,7.5,0.01,0.0,7.5,0.0,0.0
fixed,KO,2021-06-28,2021-06-29,executed,46.71091779,4.6,0.0,0.0,3.75,0.0,1.25
reserve_fixed,KO,2021-06-28,2021-06-29,executed,46.71091779,3.75,0.0,0.0,3.75,0.0,0.0
dca_l2_v2,BYDDY,2021-06-28,2021-06-29,executed,9.86131419,15.73,0.02,0.01,15.73,0.0,0.0
dca_l2_v2,MSFT,2021-06-28,2021-06-29,executed,258.16268583,11.54,0.01,0.01,11.54,0.0,0.0
dca_l2_v2,NVDA,2021-06-28,2021-06-29,executed,19.82387699,9.44,0.01,0.0,9.44,0.0,0.0
dca_l2_v2,AAPL,2021-06-28,2021-06-29,executed,131.46226828,7.87,0.01,0.0,7.87,0.0,0.0
dca_l2_v2,ASML,2021-06-28,2021-06-29,executed,668.14299855,5.24,0.01,0.0,5.24,0.0,0.0
dca_l2_v2,KO,2021-06-28,2021-06-29,executed,46.71091779,2.62,0.0,0.0,2.62,0.0,0.0
fixed,BYDDY,2021-07-02,2021-07-06,executed,9.20957749,30.0,0.03,0.01,22.5,0.0,7.5
reserve_fixed,BYDDY,2021-07-02,2021-07-06,executed,9.20957749,22.5,0.02,0.01,22.5,0.0,0.0
fixed,MSFT,2021-07-02,2021-07-06,executed,266.95791725,22.0,0.02,0.01,16.5,0.0,5.5
reserve_fixed,MSFT,2021-07-02,2021-07-06,executed,266.95791725,16.5,0.02,0.01,16.5,0.0,0.0
fixed,NVDA,2021-07-02,2021-07-06,executed,20.67635001,18.0,0.02,0.01,13.5,0.0,4.5
reserve_fixed,NVDA,2021-07-02,2021-07-06,executed,20.67635001,13.5,0.01,0.01,13.5,0.0,0.0
fixed,AAPL,2021-07-02,2021-07-06,executed,136.60176875,15.0,0.01,0.01,11.25,0.0,3.75
reserve_fixed,AAPL,2021-07-02,2021-07-06,executed,136.60176875,11.25,0.01,0.01,11.25,0.0,0.0
fixed,ASML,2021-07-02,2021-07-06,executed,658.11051681,10.0,0.01,0.01,7.5,0.0,2.5
reserve_fixed,ASML,2021-07-02,2021-07-06,executed,658.11051681,7.5,0.01,0.0,7.5,0.0,0.0
fixed,KO,2021-07-02,2021-07-06,executed,46.59009941,5.0,0.01,0.0,3.75,0.0,1.25
reserve_fixed,KO,2021-07-02,2021-07-06,executed,46.59009941,3.75,0.0,0.0,3.75,0.0,0.0
dca_l2_v2,BYDDY,2021-07-02,2021-07-06,executed,9.20957749,23.69,0.02,0.01,22.5,1.19,0.0
dca_l2_v2,MSFT,2021-07-02,2021-07-06,executed,266.95791725,16.5,0.02,0.01,16.5,0.0,0.0
dca_l2_v2,NVDA,2021-07-02,2021-07-06,executed,20.67635001,13.5,0.01,0.01,13.5,0.0,0.0
dca_l2_v2,AAPL,2021-07-02,2021-07-06,executed,136.60176875,11.25,0.01,0.01,11.25,0.0,0.0
dca_l2_v2,ASML,2021-07-02,2021-07-06,executed,658.11051681,7.5,0.01,0.0,7.5,0.0,0.0
dca_l2_v2,KO,2021-07-02,2021-07-06,executed,46.59009941,3.75,0.0,0.0,3.75,0.0,0.0
fixed,BYDDY,2021-07-12,2021-07-13,executed,9.64085002,30.0,0.03,0.01,22.5,0.0,7.5
reserve_fixed,BYDDY,2021-07-12,2021-07-13,executed,9.64085002,22.5,0.02,0.01,22.5,0.0,0.0
fixed,MSFT,2021-07-12,2021-07-13,executed,266.46814449,22.0,0.02,0.01,16.5,0.0,5.5
reserve_fixed,MSFT,2021-07-12,2021-07-13,executed,266.46814449,16.5,0.02,0.01,16.5,0.0,0.0
fixed,NVDA,2021-07-12,2021-07-13,executed,20.34034409,18.0,0.02,0.01,13.5,0.0,4.5
reserve_fixed,NVDA,2021-07-12,2021-07-13,executed,20.34034409,13.5,0.01,0.01,13.5,0.0,0.0
fixed,AAPL,2021-07-12,2021-07-13,executed,140.46372076,15.0,0.01,0.01,11.25,0.0,3.75
reserve_fixed,AAPL,2021-07-12,2021-07-13,executed,140.46372076,11.25,0.01,0.01,11.25,0.0,0.0
