strategy,symbol,signal_date,execution_date,state,base_amount,extra_amount,crash_fund_amount,final_amount,reason_codes,planned_normal,planned_crash,total_planned,unallocated_cash
dca_l2_v2,NVDA,2022-09-12,2022-09-13,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-09-12,2022-09-13,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-09-12,2022-09-13,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-09-12,2022-09-13,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-09-12,2022-09-13,,,,,,,37.51,0.0,37.51,324.98
dca_l2_v2,BYDDY,2022-09-19,2022-09-20,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2022-09-19,2022-09-20,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2022-09-19,2022-09-20,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-09-19,2022-09-20,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-09-19,2022-09-20,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-09-19,2022-09-20,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-09-19,2022-09-20,,,,,,,37.51,0.0,37.51,287.47
dca_l2_v2,BYDDY,2022-09-26,2022-09-27,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2022-09-26,2022-09-27,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2022-09-26,2022-09-27,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-09-26,2022-09-27,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-09-26,2022-09-27,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-09-26,2022-09-27,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-09-26,2022-09-27,,,,,,,37.51,0.0,37.51,249.96
dca_l2_v2,BYDDY,2022-10-03,2022-10-04,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2022-10-03,2022-10-04,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2022-10-03,2022-10-04,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-10-03,2022-10-04,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-10-03,2022-10-04,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-10-03,2022-10-04,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-10-03,2022-10-04,,,,,,,37.51,0.0,37.51,362.49
dca_l2_v2,BYDDY,2022-10-10,2022-10-11,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2022-10-10,2022-10-11,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2022-10-10,2022-10-11,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-10-10,2022-10-11,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-10-10,2022-10-11,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-10-10,2022-10-11,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-10-10,2022-10-11,,,,,,,37.51,0.0,37.51,324.98
dca_l2_v2,BYDDY,2022-10-17,2022-10-18,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2022-10-17,2022-10-18,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2022-10-17,2022-10-18,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-10-17,2022-10-18,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-10-17,2022-10-18,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-10-17,2022-10-18,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-10-17,2022-10-18,,,,,,,37.51,0.0,37.51,287.47
dca_l2_v2,BYDDY,2022-10-24,2022-10-25,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2022-10-24,2022-10-25,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2022-10-24,2022-10-25,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-10-24,2022-10-25,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-10-24,2022-10-25,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-10-24,2022-10-25,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-10-24,2022-10-25,,,,,,,37.51,0.0,37.51,249.96
dca_l2_v2,BYDDY,2022-10-31,2022-11-01,panic_bear_extreme_volatility,9.0,0.0,0.0,9.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2022-10-31,2022-11-01,panic_bear_extreme_volatility,6.6,0.0,0.0,6.6,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2022-10-31,2022-11-01,panic_bear_extreme_volatility,5.4,0.0,0.0,5.4,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-10-31,2022-11-01,panic_bear_extreme_volatility,4.5,0.0,0.0,4.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-10-31,2022-11-01,panic_bear_extreme_volatility,3.0,0.0,0.0,3.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-10-31,2022-11-01,panic_bear_extreme_volatility,1.5,0.0,0.0,1.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-10-31,2022-11-01,,,,,,,30.0,0.0,30.0,370.0
dca_l2_v2,BYDDY,2022-11-07,2022-11-08,panic_bear_extreme_volatility,9.0,0.0,0.0,9.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2022-11-07,2022-11-08,panic_bear_extreme_volatility,6.6,0.0,0.0,6.6,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2022-11-07,2022-11-08,panic_bear_extreme_volatility,5.4,0.0,0.0,5.4,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-11-07,2022-11-08,panic_bear_extreme_volatility,4.5,0.0,0.0,4.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-11-07,2022-11-08,panic_bear_extreme_volatility,3.0,0.0,0.0,3.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-11-07,2022-11-08,panic_bear_extreme_volatility,1.5,0.0,0.0,1.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-11-07,2022-11-08,,,,,,,30.0,0.0,30.0,340.0
dca_l2_v2,BYDDY,2022-11-14,2022-11-15,panic_bear_extreme_volatility,9.0,0.0,0.0,9.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2022-11-14,2022-11-15,panic_bear_extreme_volatility,6.6,0.0,0.0,6.6,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2022-11-14,2022-11-15,panic_bear_extreme_volatility,5.4,0.0,0.0,5.4,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-11-14,2022-11-15,panic_bear_extreme_volatility,4.5,0.0,0.0,4.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-11-14,2022-11-15,panic_bear_extreme_volatility,3.0,0.0,0.0,3.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-11-14,2022-11-15,panic_bear_extreme_volatility,1.5,0.0,0.0,1.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-11-14,2022-11-15,,,,,,,30.0,0.0,30.0,310.0
dca_l2_v2,BYDDY,2022-11-21,2022-11-22,panic_bear_extreme_volatility,9.0,0.0,0.0,9.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2022-11-21,2022-11-22,panic_bear_extreme_volatility,6.6,0.0,0.0,6.6,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2022-11-21,2022-11-22,panic_bear_extreme_volatility,5.4,0.0,0.0,5.4,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-11-21,2022-11-22,panic_bear_extreme_volatility,4.5,0.0,0.0,4.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-11-21,2022-11-22,panic_bear_extreme_volatility,3.0,0.0,0.0,3.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-11-21,2022-11-22,panic_bear_extreme_volatility,1.5,0.0,0.0,1.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-11-21,2022-11-22,,,,,,,30.0,0.0,30.0,280.0
dca_l2_v2,BYDDY,2022-11-28,2022-11-29,panic_bear_extreme_volatility,9.0,0.0,0.0,9.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2022-11-28,2022-11-29,panic_bear_extreme_volatility,6.6,0.0,0.0,6.6,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2022-11-28,2022-11-29,panic_bear_extreme_volatility,5.4,0.0,0.0,5.4,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-11-28,2022-11-29,panic_bear_extreme_volatility,4.5,0.0,0.0,4.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-11-28,2022-11-29,panic_bear_extreme_volatility,3.0,0.0,0.0,3.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-11-28,2022-11-29,panic_bear_extreme_volatility,1.5,0.0,0.0,1.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-11-28,2022-11-29,,,,,,,30.0,0.0,30.0,250.0
dca_l2_v2,BYDDY,2022-12-05,2022-12-06,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2022-12-05,2022-12-06,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2022-12-05,2022-12-06,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-12-05,2022-12-06,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-12-05,2022-12-06,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-12-05,2022-12-06,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-12-05,2022-12-06,,,,,,,37.51,0.0,37.51,362.49
dca_l2_v2,BYDDY,2022-12-12,2022-12-13,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2022-12-12,2022-12-13,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2022-12-12,2022-12-13,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-12-12,2022-12-13,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-12-12,2022-12-13,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-12-12,2022-12-13,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-12-12,2022-12-13,,,,,,,37.51,0.0,37.51,324.98
dca_l2_v2,BYDDY,2022-12-19,2022-12-20,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2022-12-19,2022-12-20,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2022-12-19,2022-12-20,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-12-19,2022-12-20,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-12-19,2022-12-20,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-12-19,2022-12-20,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-12-19,2022-12-20,,,,,,,37.51,0.0,37.51,287.47
dca_l2_v2,BYDDY,2022-12-23,2022-12-27,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2022-12-23,2022-12-27,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2022-12-23,2022-12-27,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-12-23,2022-12-27,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-12-23,2022-12-27,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-12-23,2022-12-27,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-12-23,2022-12-27,,,,,,,37.51,0.0,37.51,249.96
dca_l2_v2,BYDDY,2022-12-30,2023-01-03,panic_bear_extreme_volatility,9.0,0.0,0.0,9.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2022-12-30,2023-01-03,panic_bear_extreme_volatility,6.6,0.0,0.0,6.6,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2022-12-30,2023-01-03,panic_bear_extreme_volatility,5.4,0.0,0.0,5.4,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2022-12-30,2023-01-03,panic_bear_extreme_volatility,4.5,0.0,0.0,4.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2022-12-30,2023-01-03,panic_bear_extreme_volatility,3.0,0.0,0.0,3.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2022-12-30,2023-01-03,panic_bear_extreme_volatility,1.5,0.0,0.0,1.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2022-12-30,2023-01-03,,,,,,,30.0,0.0,30.0,370.0
dca_l2_v2,BYDDY,2023-01-09,2023-01-10,panic_bear_extreme_volatility,9.0,0.0,0.0,9.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2023-01-09,2023-01-10,panic_bear_extreme_volatility,6.6,0.0,0.0,6.6,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2023-01-09,2023-01-10,panic_bear_extreme_volatility,5.4,0.0,0.0,5.4,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2023-01-09,2023-01-10,panic_bear_extreme_volatility,4.5,0.0,0.0,4.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2023-01-09,2023-01-10,panic_bear_extreme_volatility,3.0,0.0,0.0,3.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2023-01-09,2023-01-10,panic_bear_extreme_volatility,1.5,0.0,0.0,1.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2023-01-09,2023-01-10,,,,,,,30.0,0.0,30.0,340.0
dca_l2_v2,BYDDY,2023-01-13,2023-01-17,panic_bear_extreme_volatility,9.0,0.0,0.0,9.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2023-01-13,2023-01-17,panic_bear_extreme_volatility,6.6,0.0,0.0,6.6,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2023-01-13,2023-01-17,panic_bear_extreme_volatility,5.4,0.0,0.0,5.4,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2023-01-13,2023-01-17,panic_bear_extreme_volatility,4.5,0.0,0.0,4.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2023-01-13,2023-01-17,panic_bear_extreme_volatility,3.0,0.0,0.0,3.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2023-01-13,2023-01-17,panic_bear_extreme_volatility,1.5,0.0,0.0,1.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2023-01-13,2023-01-17,,,,,,,30.0,0.0,30.0,310.0
dca_l2_v2,BYDDY,2023-01-23,2023-01-24,panic_bear_extreme_volatility,9.0,0.0,0.0,9.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2023-01-23,2023-01-24,panic_bear_extreme_volatility,6.6,0.0,0.0,6.6,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2023-01-23,2023-01-24,panic_bear_extreme_volatility,5.4,0.0,0.0,5.4,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2023-01-23,2023-01-24,panic_bear_extreme_volatility,4.5,0.0,0.0,4.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2023-01-23,2023-01-24,panic_bear_extreme_volatility,3.0,0.0,0.0,3.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2023-01-23,2023-01-24,panic_bear_extreme_volatility,1.5,0.0,0.0,1.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2023-01-23,2023-01-24,,,,,,,30.0,0.0,30.0,280.0
dca_l2_v2,BYDDY,2023-01-30,2023-01-31,panic_bear_extreme_volatility,9.0,0.0,0.0,9.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2023-01-30,2023-01-31,panic_bear_extreme_volatility,6.6,0.0,0.0,6.6,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2023-01-30,2023-01-31,panic_bear_extreme_volatility,5.4,0.0,0.0,5.4,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2023-01-30,2023-01-31,panic_bear_extreme_volatility,4.5,0.0,0.0,4.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2023-01-30,2023-01-31,panic_bear_extreme_volatility,3.0,0.0,0.0,3.0,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2023-01-30,2023-01-31,panic_bear_extreme_volatility,1.5,0.0,0.0,1.5,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2023-01-30,2023-01-31,,,,,,,30.0,0.0,30.0,250.0
dca_l2_v2,BYDDY,2023-02-06,2023-02-07,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,MSFT,2023-02-06,2023-02-07,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,NVDA,2023-02-06,2023-02-07,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,AAPL,2023-02-06,2023-02-07,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,ASML,2023-02-06,2023-02-07,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,KO,2023-02-06,2023-02-07,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2023-02-06,2023-02-07,,,,,,,37.51,0.0,37.51,362.49
dca_l2_v2,BYDDY,2023-02-13,2023-02-14,small_drawdown,22.5,1.81,0.0,24.31,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,MSFT,2023-02-13,2023-02-14,normal,16.5,0.0,0.0,16.5,[],,,,
dca_l2_v2,NVDA,2023-02-13,2023-02-14,normal,13.5,0.0,0.0,13.5,[],,,,
dca_l2_v2,AAPL,2023-02-13,2023-02-14,normal,11.25,0.0,0.0,11.25,[],,,,
dca_l2_v2,ASML,2023-02-13,2023-02-14,normal,7.5,0.0,0.0,7.5,[],,,,
dca_l2_v2,KO,2023-02-13,2023-02-14,small_drawdown,3.75,0.08,0.0,3.83,['EXTRA_DIP_BUY'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2023-02-13,2023-02-14,,,,,,,76.89,0.0,76.89,285.6
dca_l2_v2,BYDDY,2023-02-17,2023-02-21,medium_drawdown,22.5,3.59,0.0,26.09,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,MSFT,2023-02-17,2023-02-21,normal,16.5,0.0,0.0,16.5,[],,,,
dca_l2_v2,NVDA,2023-02-17,2023-02-21,small_drawdown,13.5,0.64,0.0,14.14,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,AAPL,2023-02-17,2023-02-21,normal,11.25,0.0,0.0,11.25,[],,,,
dca_l2_v2,ASML,2023-02-17,2023-02-21,small_drawdown,7.5,0.23,0.0,7.73,['EXTRA_DIP_BUY'],,,,
dca_l2_v2,KO,2023-02-17,2023-02-21,small_drawdown,3.75,0.13,0.0,3.88,['EXTRA_DIP_BUY'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2023-02-17,2023-02-21,,,,,,,79.59,0.0,79.59,206.01
dca_l2_v2,BYDDY,2023-02-27,2023-02-28,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2023-02-27,2023-02-28,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2023-02-27,2023-02-28,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2023-02-27,2023-02-28,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2023-02-27,2023-02-28,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,KO,2023-02-27,2023-02-28,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2023-02-27,2023-02-28,,,,,,,37.51,0.0,37.51,168.5
dca_l2_v2,BYDDY,2023-03-06,2023-03-07,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,MSFT,2023-03-06,2023-03-07,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,NVDA,2023-03-06,2023-03-07,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,AAPL,2023-03-06,2023-03-07,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,ASML,2023-03-06,2023-03-07,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2,KO,2023-03-06,2023-03-07,panic_bear_extreme_volatility,1.88,0.0,0.0,1.88,['RECOVERY_LATCH_ACTIVE'],,,,
dca_l2_v2_portfolio,PORTFOLIO,2023-03-06,2023-03-07,,,,,,,37.51,0.0,37.51,362.49
dca_l2_v2,BYDDY,2023-03-13,2023-03-14,panic_bear_extreme_volatility,11.25,0.0,0.0,11.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,MSFT,2023-03-13,2023-03-14,panic_bear_extreme_volatility,8.25,0.0,0.0,8.25,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,NVDA,2023-03-13,2023-03-14,panic_bear_extreme_volatility,6.75,0.0,0.0,6.75,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,AAPL,2023-03-13,2023-03-14,panic_bear_extreme_volatility,5.63,0.0,0.0,5.63,['DEFENSIVE_BASE_50'],,,,
dca_l2_v2,ASML,2023-03-13,2023-03-14,panic_bear_extreme_volatility,3.75,0.0,0.0,3.75,['DEFENSIVE_BASE_50'],,,,
