strategy,symbol,signal_date,execution_date,state,base_amount,extra_amount,crash_fund_amount,final_amount,reason_codes,planned_normal,planned_crash,total_planned,unallocated_cash
dca_l2_v2,MSFT,2021-07-26,2021-07-27,normal,16.5,0.0,0.0,16.5,"['NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2,NVDA,2021-07-26,2021-07-27,small_drawdown,13.5,0.6,0.0,14.1,"['EXTRA_DIP_BUY', 'NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2,AAPL,2021-07-26,2021-07-27,normal,11.25,0.0,0.0,11.25,"['NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2,ASML,2021-07-26,2021-07-27,normal,7.5,0.0,0.0,7.5,"['NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2,KO,2021-07-26,2021-07-27,normal,3.75,0.0,0.0,3.75,"['NORMAL_POOL_BASE_BUDGET_APPLIED', 'NORMAL_POOL_EXTRA_BUDGET_APPLIED']",,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-07-26,2021-07-27,,,,,,,68.58,0.0,68.58,99.99
dca_l2_v2,BYDDY,2021-08-02,2021-08-03,normal,18.0,0.0,0.0,18.0,[],,,,
dca_l2_v2,MSFT,2021-08-02,2021-08-03,normal,13.2,0.0,0.0,13.2,[],,,,
dca_l2_v2,NVDA,2021-08-02,2021-08-03,normal,10.8,0.0,0.0,10.8,[],,,,
dca_l2_v2,AAPL,2021-08-02,2021-08-03,normal,9.0,0.0,0.0,9.0,[],,,,
dca_l2_v2,ASML,2021-08-02,2021-08-03,normal,6.0,0.0,0.0,6.0,[],,,,
dca_l2_v2,KO,2021-08-02,2021-08-03,normal,3.0,0.0,0.0,3.0,[],,,,
dca_l2_v2_portfolio,PORTFOLIO,2021-08-02,2021-08-03,,,,,,,60.0,0.0,60.0,340.0
dca_l2_v2,BYDDY,2021-08-09,2021-08-10,normal,18.0,0.0,0.0,18.0,[],,,,
dca_l2_v2,MSFT,2021-08-09,2021-08-10,normal,13.2,0.0,0.0,13.2,[],,,,
dca_l2_v2,NVDA,2021-08-09,2021-08-10,normal,10.8,0.0,0.0,10.8,[],,,,
dca_l2_v2,AAPL,2021-08-09,2021-08-10,normal,9.0,0.0,0.0,9.0,[],,,,
dca_l2_v2,ASML,2021-08-09,2021-08-10,normal,6.0,0.0,0.0,6.0,[],,,,
dca_l2_v2,KO,2021-08-09,2021-08-10,normal,3.0,0.0,0.0,3.0,[],,,,
