parameter_set,balanced_score,avg_total_return_pct,avg_max_drawdown_pct,avg_volatility_pct,avg_calmar_ratio,avg_cash_usage_pct,ticker_return_stddev_pct,sensitivity,min_multiplier,max_multiplier,target_weekly_vol,extreme_drawdown_cap,consecutive_decline_cap,combined_stress_cap
s5_min0.3_max2_tv0.1_dd1.3_cd1.4_cs1.5,0.355989,74.12,23.34,20.11,0.639,92.73,104.58,5.0,0.3,2.0,0.1,1.3,1.4,1.5
s5_min0.3_max2.4_tv0.1_dd1.3_cd1.2_cs1.1,0.355884,74.11,23.34,20.11,0.639,92.73,104.58,5.0,0.3,2.4,0.1,1.3,1.2,1.1
s5_min0.3_max2.4_tv0.1_dd1.3_cd1.2_cs1.3,0.355884,74.11,23.34,20.11,0.639,92.73,104.58,5.0,0.3,2.4,0.1,1.3,1.2,1.3
s5_min0.3_max2.4_tv0.1_dd1.3_cd1.2_cs1.5,0.355884,74.11,23.34,20.11,0.639,92.73,104.58,5.0,0.3,2.4,0.1,1.3,1.2,1.5
s5_min0.3_max2_tv0.1_dd1.3_cd1.2_cs1.1,0.355879,74.11,23.34,20.11,0.639,92.73,104.58,5.0,0.3,2.0,0.1,1.3,1.2,1.1
s5_min0.3_max2_tv0.1_dd1.3_cd1.2_cs1.3,0.355879,74.11,23.34,20.11,0.639,92.73,104.58,5.0,0.3,2.0,0.1,1.3,1.2,1.3
s5_min0.3_max2_tv0.1_dd1.3_cd1.2_cs1.5,0.355879,74.11,23.34,20.11,0.639,92.73,104.58,5.0,0.3,2.0,0.1,1.3,1.2,1.5
s5_min0.3_max1.6_tv0.1_dd1.3_cd1.4_cs1.1,0.355841,74.04,23.31,20.07,0.638,92.65,104.42,5.0,0.3,1.6,0.1,1.3,1.4,1.1
s5_min0.3_max1.6_tv0.1_dd1.3_cd1.4_cs1.3,0.355841,74.04,23.31,20.07,0.638,92.65,104.42,5.0,0.3,1.6,0.1,1.3,1.4,1.3
s5_min0.3_max1.6_tv0.1_dd1.3_cd1.4_cs1.5,0.355841,74.04,23.31,20.07,0.638,92.65,104.42,5.0,0.3,1.6,0.1,1.3,1.4,1.5
s5_min0.3_max2.4_tv0.1_dd1.3_cd1_cs1.1,0.355797,74.1,23.34,20.1,0.639,92.73,104.58,5.0,0.3,2.4,0.1,1.3,1.0,1.1
s5_min0.3_max2.4_tv0.1_dd1.3_cd1_cs1.3,0.355797,74.1,23.34,20.1,0.639,92.73,104.58,5.0,0.3,2.4,0.1,1.3,1.0,1.3
s5_min0.3_max2.4_tv0.1_dd1.3_cd1_cs1.5,0.355797,74.1,23.34,20.1,0.639,92.73,104.58,5.0,0.3,2.4,0.1,1.3,1.0,1.5
s5_min0.3_max2_tv0.1_dd1.3_cd1_cs1.1,0.355792,74.1,23.34,20.1,0.639,92.73,104.58,5.0,0.3,2.0,0.1,1.3,1.0,1.1
s5_min0.3_max2_tv0.1_dd1.3_cd1_cs1.3,0.355792,74.1,23.34,20.1,0.639,92.73,104.58,5.0,0.3,2.0,0.1,1.3,1.0,1.3
s5_min0.3_max2_tv0.1_dd1.3_cd1_cs1.5,0.355792,74.1,23.34,20.1,0.639,92.73,104.58,5.0,0.3,2.0,0.1,1.3,1.0,1.5
s5_min0.3_max1.6_tv0.1_dd1.3_cd1.2_cs1.1,0.355751,74.03,23.31,20.07,0.638,92.65,104.42,5.0,0.3,1.6,0.1,1.3,1.2,1.1
s5_min0.3_max1.6_tv0.1_dd1.3_cd1.2_cs1.3,0.355751,74.03,23.31,20.07,0.638,92.65,104.42,5.0,0.3,1.6,0.1,1.3,1.2,1.3
s5_min0.3_max1.6_tv0.1_dd1.3_cd1.2_cs1.5,0.355751,74.03,23.31,20.07,0.638,92.65,104.42,5.0,0.3,1.6,0.1,1.3,1.2,1.5
s5_min0.3_max1.6_tv0.1_dd1.3_cd1_cs1.1,0.355665,74.02,23.31,20.06,0.638,92.64,104.42,5.0,0.3,1.6,0.1,1.3,1.0,1.1
s5_min0.3_max1.6_tv0.1_dd1.3_cd1_cs1.3,0.355665,74.02,23.31,20.06,0.638,92.64,104.42,5.0,0.3,1.6,0.1,1.3,1.0,1.3
s5_min0.3_max1.6_tv0.1_dd1.3_cd1_cs1.5,0.355665,74.02,23.31,20.06,0.638,92.64,104.42,5.0,0.3,1.6,0.1,1.3,1.0,1.5
s3_min0.5_max2_tv0.1_dd1.1_cd1.4_cs1.1,0.352118,73.94,23.39,20.11,0.633,92.94,104.67,3.0,0.5,2.0,0.1,1.1,1.4,1.1
s3_min0.5_max2_tv0.1_dd1.1_cd1.4_cs1.3,0.352118,73.94,23.39,20.11,0.633,92.94,104.67,3.0,0.5,2.0,0.1,1.1,1.4,1.3
s3_min0.5_max2_tv0.1_dd1.1_cd1.4_cs1.5,0.352118,73.94,23.39,20.11,0.633,92.94,104.67,3.0,0.5,2.0,0.1,1.1,1.4,1.5
s3_min0.5_max2.4_tv0.1_dd1.1_cd1.4_cs1.1,0.352118,73.94,23.39,20.11,0.633,92.94,104.67,3.0,0.5,2.4,0.1,1.1,1.4,1.1
s3_min0.5_max2.4_tv0.1_dd1.1_cd1.4_cs1.3,0.352118,73.94,23.39,20.11,0.633,92.94,104.67,3.0,0.5,2.4,0.1,1.1,1.4,1.3
s3_min0.5_max2.4_tv0.1_dd1.1_cd1.4_cs1.5,0.352118,73.94,23.39,20.11,0.633,92.94,104.67,3.0,0.5,2.4,0.1,1.1,1.4,1.5
s3_min0.5_max1.6_tv0.1_dd1.1_cd1.4_cs1.1,0.352114,73.94,23.39,20.11,0.633,92.94,104.67,3.0,0.5,1.6,0.1,1.1,1.4,1.1
s3_min0.5_max1.6_tv0.1_dd1.1_cd1.4_cs1.3,0.352114,73.94,23.39,20.11,0.633,92.94,104.67,3.0,0.5,1.6,0.1,1.1,1.4,1.3
s3_min0.5_max1.6_tv0.1_dd1.1_cd1.4_cs1.5,0.352114,73.94,23.39,20.11,0.633,92.94,104.67,3.0,0.5,1.6,0.1,1.1,1.4,1.5
s3_min0.5_max2_tv0.1_dd1.1_cd1.2_cs1.1,0.352101,73.93,23.39,20.11,0.633,92.94,104.67,3.0,0.5,2.0,0.1,1.1,1.2,1.1
s3_min0.5_max2_tv0.1_dd1.1_cd1.2_cs1.3,0.352101,73.93,23.39,20.11,0.633,92.94,104.67,3.0,0.5,2.0,0.1,1.1,1.2,1.3
s3_min0.5_max2_tv0.1_dd1.1_cd1.2_cs1.5,0.352101,73.93,23.39,20.11,0.633,92.94,104.67,3.0,0.5,2.0,0.1,1.1,1.2,1.5
s3_min0.5_max2.4_tv0.1_dd1.1_cd1.2_cs1.1,0.352101,73.93,23.39,20.11,0.633,92.94,104.67,3.0,0.5,2.4,0.1,1.1,1.2,1.1
s3_min0.5_max2.4_tv0.1_dd1.1_cd1.2_cs1.3,0.352101,73.93,23.39,20.11,0.633,92.94,104.67,3.0,0.5,2.4,0.1,1.1,1.2,1.3
s3_min0.5_max2.4_tv0.1_dd1.1_cd1.2_cs1.5,0.352101,73.93,23.39,20.11,0.633,92.94,104.67,3.0,0.5,2.4,0.1,1.1,1.2,1.5
s3_min0.5_max1.6_tv0.1_dd1.1_cd1.2_cs1.1,0.352097,73.93,23.39,20.11,0.633,92.94,104.67,3.0,0.5,1.6,0.1,1.1,1.2,1.1
s3_min0.5_max1.6_tv0.1_dd1.1_cd1.2_cs1.3,0.352097,73.93,23.39,20.11,0.633,92.94,104.67,3.0,0.5,1.6,0.1,1.1,1.2,1.3
s3_min0.5_max1.6_tv0.1_dd1.1_cd1.2_cs1.5,0.352097,73.93,23.39,20.11,0.633,92.94,104.67,3.0,0.5,1.6,0.1,1.1,1.2,1.5
s3_min0.5_max2_tv0.1_dd1.1_cd1_cs1.1,0.35199,73.92,23.39,20.1,0.633,92.94,104.68,3.0,0.5,2.0,0.1,1.1,1.0,1.1
s3_min0.5_max2_tv0.1_dd1.1_cd1_cs1.3,0.35199,73.92,23.39,20.1,0.633,92.94,104.68,3.0,0.5,2.0,0.1,1.1,1.0,1.3
s3_min0.5_max2_tv0.1_dd1.1_cd1_cs1.5,0.35199,73.92,23.39,20.1,0.633,92.94,104.68,3.0,0.5,2.0,0.1,1.1,1.0,1.5
s3_min0.5_max2.4_tv0.1_dd1.1_cd1_cs1.1,0.35199,73.92,23.39,20.1,0.633,92.94,104.68,3.0,0.5,2.4,0.1,1.1,1.0,1.1
s3_min0.5_max2.4_tv0.1_dd1.1_cd1_cs1.3,0.35199,73.92,23.39,20.1,0.633,92.94,104.68,3.0,0.5,2.4,0.1,1.1,1.0,1.3
s3_min0.5_max2.4_tv0.1_dd1.1_cd1_cs1.5,0.35199,73.92,23.39,20.1,0.633,92.94,104.68,3.0,0.5,2.4,0.1,1.1,1.0,1.5
s3_min0.5_max1.6_tv0.1_dd1.1_cd1_cs1.1,0.351986,73.92,23.39,20.1,0.633,92.94,104.68,3.0,0.5,1.6,0.1,1.1,1.0,1.1
s3_min0.5_max1.6_tv0.1_dd1.1_cd1_cs1.3,0.351986,73.92,23.39,20.1,0.633,92.94,104.68,3.0,0.5,1.6,0.1,1.1,1.0,1.3
s3_min0.5_max1.6_tv0.1_dd1.1_cd1_cs1.5,0.351986,73.92,23.39,20.1,0.633,92.94,104.68,3.0,0.5,1.6,0.1,1.1,1.0,1.5
s3_min0.3_max2_tv0.1_dd1.1_cd1.4_cs1.1,0.351893,73.89,23.38,20.09,0.633,92.89,104.59,3.0,0.3,2.0,0.1,1.1,1.4,1.1
s3_min0.3_max2_tv0.1_dd1.1_cd1.4_cs1.3,0.351893,73.89,23.38,20.09,0.633,92.89,104.59,3.0,0.3,2.0,0.1,1.1,1.4,1.3
s3_min0.3_max2_tv0.1_dd1.1_cd1.4_cs1.5,0.351893,73.89,23.38,20.09,0.633,92.89,104.59,3.0,0.3,2.0,0.1,1.1,1.4,1.5
s3_min0.3_max2.4_tv0.1_dd1.1_cd1.4_cs1.1,0.351893,73.89,23.38,20.09,0.633,92.89,104.59,3.0,0.3,2.4,0.1,1.1,1.4,1.1
s3_min0.3_max2.4_tv0.1_dd1.1_cd1.4_cs1.3,0.351893,73.89,23.38,20.09,0.633,92.89,104.59,3.0,0.3,2.4,0.1,1.1,1.4,1.3
s3_min0.3_max2.4_tv0.1_dd1.1_cd1.4_cs1.5,0.351893,73.89,23.38,20.09,0.633,92.89,104.59,3.0,0.3,2.4,0.1,1.1,1.4,1.5
s3_min0.3_max1.6_tv0.1_dd1.1_cd1.4_cs1.1,0.35188,73.89,23.38,20.09,0.633,92.89,104.6,3.0,0.3,1.6,0.1,1.1,1.4,1.1
s3_min0.3_max1.6_tv0.1_dd1.1_cd1.4_cs1.3,0.35188,73.89,23.38,20.09,0.633,92.89,104.6,3.0,0.3,1.6,0.1,1.1,1.4,1.3
s3_min0.3_max1.6_tv0.1_dd1.1_cd1.4_cs1.5,0.35188,73.89,23.38,20.09,0.633,92.89,104.6,3.0,0.3,1.6,0.1,1.1,1.4,1.5
s3_min0.3_max2_tv0.1_dd1.1_cd1.2_cs1.1,0.351876,73.88,23.38,20.09,0.633,92.89,104.6,3.0,0.3,2.0,0.1,1.1,1.2,1.1
s3_min0.3_max2_tv0.1_dd1.1_cd1.2_cs1.3,0.351876,73.88,23.38,20.09,0.633,92.89,104.6,3.0,0.3,2.0,0.1,1.1,1.2,1.3
s3_min0.3_max2_tv0.1_dd1.1_cd1.2_cs1.5,0.351876,73.88,23.38,20.09,0.633,92.89,104.6,3.0,0.3,2.0,0.1,1.1,1.2,1.5
s3_min0.3_max2.4_tv0.1_dd1.1_cd1.2_cs1.1,0.351876,73.88,23.38,20.09,0.633,92.89,104.6,3.0,0.3,2.4,0.1,1.1,1.2,1.1
s3_min0.3_max2.4_tv0.1_dd1.1_cd1.2_cs1.3,0.351876,73.88,23.38,20.09,0.633,92.89,104.6,3.0,0.3,2.4,0.1,1.1,1.2,1.3
s3_min0.3_max2.4_tv0.1_dd1.1_cd1.2_cs1.5,0.351876,73.88,23.38,20.09,0.633,92.89,104.6,3.0,0.3,2.4,0.1,1.1,1.2,1.5
s3_min0.3_max1.6_tv0.1_dd1.1_cd1.2_cs1.1,0.351863,73.88,23.38,20.09,0.633,92.89,104.6,3.0,0.3,1.6,0.1,1.1,1.2,1.1
s3_min0.3_max1.6_tv0.1_dd1.1_cd1.2_cs1.3,0.351863,73.88,23.38,20.09,0.633,92.89,104.6,3.0,0.3,1.6,0.1,1.1,1.2,1.3
s3_min0.3_max1.6_tv0.1_dd1.1_cd1.2_cs1.5,0.351863,73.88,23.38,20.09,0.633,92.89,104.6,3.0,0.3,1.6,0.1,1.1,1.2,1.5
s3_min0.3_max2_tv0.1_dd1.1_cd1_cs1.1,0.351766,73.87,23.37,20.09,0.633,92.89,104.6,3.0,0.3,2.0,0.1,1.1,1.0,1.1
s3_min0.3_max2_tv0.1_dd1.1_cd1_cs1.3,0.351766,73.87,23.37,20.09,0.633,92.89,104.6,3.0,0.3,2.0,0.1,1.1,1.0,1.3
s3_min0.3_max2_tv0.1_dd1.1_cd1_cs1.5,0.351766,73.87,23.37,20.09,0.633,92.89,104.6,3.0,0.3,2.0,0.1,1.1,1.0,1.5
s3_min0.3_max2.4_tv0.1_dd1.1_cd1_cs1.1,0.351766,73.87,23.37,20.09,0.633,92.89,104.6,3.0,0.3,2.4,0.1,1.1,1.0,1.1
s3_min0.3_max2.4_tv0.1_dd1.1_cd1_cs1.3,0.351766,73.87,23.37,20.09,0.633,92.89,104.6,3.0,0.3,2.4,0.1,1.1,1.0,1.3
s3_min0.3_max2.4_tv0.1_dd1.1_cd1_cs1.5,0.351766,73.87,23.37,20.09,0.633,92.89,104.6,3.0,0.3,2.4,0.1,1.1,1.0,1.5
s3_min0.3_max1.6_tv0.1_dd1.1_cd1_cs1.1,0.351752,73.87,23.37,20.09,0.633,92.89,104.6,3.0,0.3,1.6,0.1,1.1,1.0,1.1
s3_min0.3_max1.6_tv0.1_dd1.1_cd1_cs1.3,0.351752,73.87,23.37,20.09,0.633,92.89,104.6,3.0,0.3,1.6,0.1,1.1,1.0,1.3
s3_min0.3_max1.6_tv0.1_dd1.1_cd1_cs1.5,0.351752,73.87,23.37,20.09,0.633,92.89,104.6,3.0,0.3,1.6,0.1,1.1,1.0,1.5
s4_min0.5_max2_tv0.1_dd1.1_cd1.4_cs1.1,0.350748,73.43,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.0,0.1,1.1,1.4,1.1
s4_min0.5_max2_tv0.1_dd1.1_cd1.4_cs1.3,0.350748,73.43,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.0,0.1,1.1,1.4,1.3
s4_min0.5_max2_tv0.1_dd1.1_cd1.4_cs1.5,0.350748,73.43,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.0,0.1,1.1,1.4,1.5
s4_min0.5_max2.4_tv0.1_dd1.1_cd1.4_cs1.1,0.350748,73.43,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.4,0.1,1.1,1.4,1.1
s4_min0.5_max2.4_tv0.1_dd1.1_cd1.4_cs1.3,0.350748,73.43,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.4,0.1,1.1,1.4,1.3
s4_min0.5_max2.4_tv0.1_dd1.1_cd1.4_cs1.5,0.350748,73.43,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.4,0.1,1.1,1.4,1.5
s4_min0.5_max1.6_tv0.1_dd1.1_cd1.4_cs1.1,0.350718,73.43,23.35,20.06,0.632,92.69,103.49,4.0,0.5,1.6,0.1,1.1,1.4,1.1
s4_min0.5_max1.6_tv0.1_dd1.1_cd1.4_cs1.3,0.350718,73.43,23.35,20.06,0.632,92.69,103.49,4.0,0.5,1.6,0.1,1.1,1.4,1.3
s4_min0.5_max1.6_tv0.1_dd1.1_cd1.4_cs1.5,0.350718,73.43,23.35,20.06,0.632,92.69,103.49,4.0,0.5,1.6,0.1,1.1,1.4,1.5
s4_min0.5_max2_tv0.1_dd1.1_cd1.2_cs1.1,0.350667,73.43,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.0,0.1,1.1,1.2,1.1
s4_min0.5_max2_tv0.1_dd1.1_cd1.2_cs1.3,0.350667,73.43,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.0,0.1,1.1,1.2,1.3
s4_min0.5_max2_tv0.1_dd1.1_cd1.2_cs1.5,0.350667,73.43,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.0,0.1,1.1,1.2,1.5
s4_min0.5_max2.4_tv0.1_dd1.1_cd1.2_cs1.1,0.350667,73.43,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.4,0.1,1.1,1.2,1.1
s4_min0.5_max2.4_tv0.1_dd1.1_cd1.2_cs1.3,0.350667,73.43,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.4,0.1,1.1,1.2,1.3
s4_min0.5_max2.4_tv0.1_dd1.1_cd1.2_cs1.5,0.350667,73.43,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.4,0.1,1.1,1.2,1.5
s4_min0.5_max1.6_tv0.1_dd1.1_cd1.2_cs1.1,0.350637,73.42,23.34,20.05,0.632,92.69,103.49,4.0,0.5,1.6,0.1,1.1,1.2,1.1
s4_min0.5_max1.6_tv0.1_dd1.1_cd1.2_cs1.3,0.350637,73.42,23.34,20.05,0.632,92.69,103.49,4.0,0.5,1.6,0.1,1.1,1.2,1.3
s4_min0.5_max1.6_tv0.1_dd1.1_cd1.2_cs1.5,0.350637,73.42,23.34,20.05,0.632,92.69,103.49,4.0,0.5,1.6,0.1,1.1,1.2,1.5
s4_min0.5_max2_tv0.1_dd1.1_cd1_cs1.1,0.350593,73.42,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.0,0.1,1.1,1.0,1.1
s4_min0.5_max2_tv0.1_dd1.1_cd1_cs1.3,0.350593,73.42,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.0,0.1,1.1,1.0,1.3
s4_min0.5_max2_tv0.1_dd1.1_cd1_cs1.5,0.350593,73.42,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.0,0.1,1.1,1.0,1.5
s4_min0.5_max2.4_tv0.1_dd1.1_cd1_cs1.1,0.350593,73.42,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.4,0.1,1.1,1.0,1.1
s4_min0.5_max2.4_tv0.1_dd1.1_cd1_cs1.3,0.350593,73.42,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.4,0.1,1.1,1.0,1.3
s4_min0.5_max2.4_tv0.1_dd1.1_cd1_cs1.5,0.350593,73.42,23.35,20.06,0.632,92.71,103.5,4.0,0.5,2.4,0.1,1.1,1.0,1.5
s4_min0.5_max1.6_tv0.1_dd1.1_cd1_cs1.1,0.350563,73.41,23.34,20.05,0.632,92.69,103.49,4.0,0.5,1.6,0.1,1.1,1.0,1.1
s4_min0.5_max1.6_tv0.1_dd1.1_cd1_cs1.3,0.350563,73.41,23.34,20.05,0.632,92.69,103.49,4.0,0.5,1.6,0.1,1.1,1.0,1.3
s4_min0.5_max1.6_tv0.1_dd1.1_cd1_cs1.5,0.350563,73.41,23.34,20.05,0.632,92.69,103.49,4.0,0.5,1.6,0.1,1.1,1.0,1.5
s5_min0.5_max2.4_tv0.1_dd1.1_cd1.4_cs1.1,0.350411,73.13,23.33,20.05,0.633,92.57,102.7,5.0,0.5,2.4,0.1,1.1,1.4,1.1
s5_min0.5_max2.4_tv0.1_dd1.1_cd1.4_cs1.3,0.350411,73.13,23.33,20.05,0.633,92.57,102.7,5.0,0.5,2.4,0.1,1.1,1.4,1.3
s5_min0.5_max2.4_tv0.1_dd1.1_cd1.4_cs1.5,0.350411,73.13,23.33,20.05,0.633,92.57,102.7,5.0,0.5,2.4,0.1,1.1,1.4,1.5
s5_min0.5_max2_tv0.1_dd1.1_cd1.4_cs1.1,0.350407,73.13,23.33,20.04,0.633,92.56,102.7,5.0,0.5,2.0,0.1,1.1,1.4,1.1
s5_min0.5_max2_tv0.1_dd1.1_cd1.4_cs1.3,0.350407,73.13,23.33,20.04,0.633,92.56,102.7,5.0,0.5,2.0,0.1,1.1,1.4,1.3
s5_min0.5_max2_tv0.1_dd1.1_cd1.4_cs1.5,0.350407,73.13,23.33,20.04,0.633,92.56,102.7,5.0,0.5,2.0,0.1,1.1,1.4,1.5
s5_min0.5_max2.4_tv0.1_dd1.1_cd1.2_cs1.1,0.350304,73.12,23.33,20.04,0.633,92.57,102.71,5.0,0.5,2.4,0.1,1.1,1.2,1.1
s5_min0.5_max2.4_tv0.1_dd1.1_cd1.2_cs1.3,0.350304,73.12,23.33,20.04,0.633,92.57,102.71,5.0,0.5,2.4,0.1,1.1,1.2,1.3
s5_min0.5_max2.4_tv0.1_dd1.1_cd1.2_cs1.5,0.350304,73.12,23.33,20.04,0.633,92.57,102.71,5.0,0.5,2.4,0.1,1.1,1.2,1.5
s5_min0.5_max2_tv0.1_dd1.1_cd1.2_cs1.1,0.3503,73.12,23.33,20.04,0.633,92.56,102.71,5.0,0.5,2.0,0.1,1.1,1.2,1.1
s5_min0.5_max2_tv0.1_dd1.1_cd1.2_cs1.3,0.3503,73.12,23.33,20.04,0.633,92.56,102.71,5.0,0.5,2.0,0.1,1.1,1.2,1.3
s5_min0.5_max2_tv0.1_dd1.1_cd1.2_cs1.5,0.3503,73.12,23.33,20.04,0.633,92.56,102.71,5.0,0.5,2.0,0.1,1.1,1.2,1.5
s5_min0.5_max1.6_tv0.1_dd1.1_cd1.4_cs1.1,0.35025,73.04,23.3,20.01,0.632,92.48,102.53,5.0,0.5,1.6,0.1,1.1,1.4,1.1
s5_min0.5_max1.6_tv0.1_dd1.1_cd1.4_cs1.3,0.35025,73.04,23.3,20.01,0.632,92.48,102.53,5.0,0.5,1.6,0.1,1.1,1.4,1.3
s5_min0.5_max1.6_tv0.1_dd1.1_cd1.4_cs1.5,0.35025,73.04,23.3,20.01,0.632,92.48,102.53,5.0,0.5,1.6,0.1,1.1,1.4,1.5
s5_min0.5_max2.4_tv0.1_dd1.1_cd1_cs1.1,0.350218,73.11,23.32,20.03,0.633,92.57,102.71,5.0,0.5,2.4,0.1,1.1,1.0,1.1
s5_min0.5_max2.4_tv0.1_dd1.1_cd1_cs1.3,0.350218,73.11,23.32,20.03,0.633,92.57,102.71,5.0,0.5,2.4,0.1,1.1,1.0,1.3
s5_min0.5_max2.4_tv0.1_dd1.1_cd1_cs1.5,0.350218,73.11,23.32,20.03,0.633,92.57,102.71,5.0,0.5,2.4,0.1,1.1,1.0,1.5
s5_min0.5_max2_tv0.1_dd1.1_cd1_cs1.1,0.350214,73.11,23.32,20.03,0.633,92.56,102.71,5.0,0.5,2.0,0.1,1.1,1.0,1.1
s5_min0.5_max2_tv0.1_dd1.1_cd1_cs1.3,0.350214,73.11,23.32,20.03,0.633,92.56,102.71,5.0,0.5,2.0,0.1,1.1,1.0,1.3
s5_min0.5_max2_tv0.1_dd1.1_cd1_cs1.5,0.350214,73.11,23.32,20.03,0.633,92.56,102.71,5.0,0.5,2.0,0.1,1.1,1.0,1.5
s4_min0.3_max2_tv0.1_dd1.1_cd1.4_cs1.1,0.350183,73.28,23.32,20.02,0.632,92.59,103.19,4.0,0.3,2.0,0.1,1.1,1.4,1.1
s4_min0.3_max2_tv0.1_dd1.1_cd1.4_cs1.3,0.350183,73.28,23.32,20.02,0.632,92.59,103.19,4.0,0.3,2.0,0.1,1.1,1.4,1.3
s4_min0.3_max2_tv0.1_dd1.1_cd1.4_cs1.5,0.350183,73.28,23.32,20.02,0.632,92.59,103.19,4.0,0.3,2.0,0.1,1.1,1.4,1.5
s4_min0.3_max2.4_tv0.1_dd1.1_cd1.4_cs1.1,0.350183,73.28,23.32,20.02,0.632,92.59,103.19,4.0,0.3,2.4,0.1,1.1,1.4,1.1
s4_min0.3_max2.4_tv0.1_dd1.1_cd1.4_cs1.3,0.350183,73.28,23.32,20.02,0.632,92.59,103.19,4.0,0.3,2.4,0.1,1.1,1.4,1.3
s4_min0.3_max2.4_tv0.1_dd1.1_cd1.4_cs1.5,0.350183,73.28,23.32,20.02,0.632,92.59,103.19,4.0,0.3,2.4,0.1,1.1,1.4,1.5
s4_min0.3_max1.6_tv0.1_dd1.1_cd1.4_cs1.1,0.350174,73.27,23.32,20.02,0.632,92.57,103.18,4.0,0.3,1.6,0.1,1.1,1.4,1.1
s4_min0.3_max1.6_tv0.1_dd1.1_cd1.4_cs1.3,0.350174,73.27,23.32,20.02,0.632,92.57,103.18,4.0,0.3,1.6,0.1,1.1,1.4,1.3
s4_min0.3_max1.6_tv0.1_dd1.1_cd1.4_cs1.5,0.350174,73.27,23.32,20.02,0.632,92.57,103.18,4.0,0.3,1.6,0.1,1.1,1.4,1.5
s5_min0.5_max1.6_tv0.1_dd1.1_cd1.2_cs1.1,0.350165,73.03,23.29,20.0,0.632,92.48,102.53,5.0,0.5,1.6,0.1,1.1,1.2,1.1
s5_min0.5_max1.6_tv0.1_dd1.1_cd1.2_cs1.3,0.350165,73.03,23.29,20.0,0.632,92.48,102.53,5.0,0.5,1.6,0.1,1.1,1.2,1.3
s5_min0.5_max1.6_tv0.1_dd1.1_cd1.2_cs1.5,0.350165,73.03,23.29,20.0,0.632,92.48,102.53,5.0,0.5,1.6,0.1,1.1,1.2,1.5
s4_min0.3_max2_tv0.1_dd1.1_cd1.2_cs1.1,0.350102,73.27,23.32,20.02,0.632,92.59,103.19,4.0,0.3,2.0,0.1,1.1,1.2,1.1
s4_min0.3_max2_tv0.1_dd1.1_cd1.2_cs1.3,0.350102,73.27,23.32,20.02,0.632,92.59,103.19,4.0,0.3,2.0,0.1,1.1,1.2,1.3
s4_min0.3_max2_tv0.1_dd1.1_cd1.2_cs1.5,0.350102,73.27,23.32,20.02,0.632,92.59,103.19,4.0,0.3,2.0,0.1,1.1,1.2,1.5
s4_min0.3_max2.4_tv0.1_dd1.1_cd1.2_cs1.1,0.350102,73.27,23.32,20.02,0.632,92.59,103.19,4.0,0.3,2.4,0.1,1.1,1.2,1.1
s4_min0.3_max2.4_tv0.1_dd1.1_cd1.2_cs1.3,0.350102,73.27,23.32,20.02,0.632,92.59,103.19,4.0,0.3,2.4,0.1,1.1,1.2,1.3
s4_min0.3_max2.4_tv0.1_dd1.1_cd1.2_cs1.5,0.350102,73.27,23.32,20.02,0.632,92.59,103.19,4.0,0.3,2.4,0.1,1.1,1.2,1.5
s4_min0.3_max1.6_tv0.1_dd1.1_cd1.2_cs1.1,0.350093,73.26,23.31,20.01,0.632,92.57,103.18,4.0,0.3,1.6,0.1,1.1,1.2,1.1
s4_min0.3_max1.6_tv0.1_dd1.1_cd1.2_cs1.3,0.350093,73.26,23.31,20.01,0.632,92.57,103.18,4.0,0.3,1.6,0.1,1.1,1.2,1.3
s4_min0.3_max1.6_tv0.1_dd1.1_cd1.2_cs1.5,0.350093,73.26,23.31,20.01,0.632,92.57,103.18,4.0,0.3,1.6,0.1,1.1,1.2,1.5
s5_min0.5_max1.6_tv0.1_dd1.1_cd1_cs1.1,0.350059,73.02,23.29,20.0,0.632,92.48,102.53,5.0,0.5,1.6,0.1,1.1,1.0,1.1
s5_min0.5_max1.6_tv0.1_dd1.1_cd1_cs1.3,0.350059,73.02,23.29,20.0,0.632,92.48,102.53,5.0,0.5,1.6,0.1,1.1,1.0,1.3
s5_min0.5_max1.6_tv0.1_dd1.1_cd1_cs1.5,0.350059,73.02,23.29,20.0,0.632,92.48,102.53,5.0,0.5,1.6,0.1,1.1,1.0,1.5
s4_min0.3_max2_tv0.1_dd1.1_cd1_cs1.1,0.350028,73.26,23.32,20.02,0.632,92.59,103.19,4.0,0.3,2.0,0.1,1.1,1.0,1.1
