target,model,train_rows,test_rows,train_start,train_end,test_start,test_end,accuracy,balanced_accuracy,roc_auc,precision,recall,walk_forward_accuracy
forward_4w_positive,baseline_majority,18202,4374,2015-01-02,2024-03-01,2024-03-08,2026-05-22,0.55121171,0.5,,0.55121171,1.0,
forward_4w_positive,logistic_regression,18202,4374,2015-01-02,2024-03-01,2024-03-08,2026-05-22,0.51028807,0.51006583,0.51191506,0.56110859,0.51223559,0.50226223
forward_4w_positive,random_forest_classifier,18202,4374,2015-01-02,2024-03-01,2024-03-08,2026-05-22,0.47896662,0.49126224,0.4849236,0.539807,0.37121526,0.4835988
forward_12w_positive,baseline_majority,18202,4070,2015-01-02,2024-03-01,2024-03-08,2026-03-27,0.6027027,0.5,,0.6027027,1.0,
forward_12w_positive,logistic_regression,18202,4070,2015-01-02,2024-03-01,2024-03-08,2026-03-27,0.53292383,0.53779906,0.53544648,0.64010152,0.51406441,0.49525623
forward_12w_positive,random_forest_classifier,18202,4070,2015-01-02,2024-03-01,2024-03-08,2026-03-27,0.50737101,0.52355577,0.52802067,0.62918108,0.44476152,0.47314174
