target,model,train_rows,test_rows,train_start,train_end,test_start,test_end,mae,rmse,r2,spearman_rank_corr,directional_accuracy,walk_forward_spearman
forward_1w_return,baseline_mean,18202,4488,2015-01-02,2024-03-01,2024-03-08,2026-06-12,0.03411983,0.04897514,-0.00038217,0.0,0.54367201,
forward_1w_return,ridge,18202,4488,2015-01-02,2024-03-01,2024-03-08,2026-06-12,0.03415759,0.04897718,-0.0004652,0.03170939,0.52807487,0.04016072
forward_1w_return,random_forest_regressor,18202,4488,2015-01-02,2024-03-01,2024-03-08,2026-06-12,0.03417233,0.04905308,-0.0035685,0.0284346,0.54144385,0.01602643
forward_4w_return,baseline_mean,18202,4374,2015-01-02,2024-03-01,2024-03-08,2026-05-22,0.07113318,0.10470985,-0.00139539,0.0,0.55121171,
forward_4w_return,ridge,18202,4374,2015-01-02,2024-03-01,2024-03-08,2026-05-22,0.07096201,0.10449777,0.00265691,0.0747815,0.54641061,0.04332789
forward_4w_return,random_forest_regressor,18202,4374,2015-01-02,2024-03-01,2024-03-08,2026-05-22,0.07119501,0.10434203,0.00562758,0.06271193,0.54709648,0.02328483
forward_12w_return,baseline_mean,18202,4070,2015-01-02,2024-03-01,2024-03-08,2026-03-27,0.12627021,0.18895005,-0.00286258,0.0,0.6027027,
forward_12w_return,ridge,18202,4070,2015-01-02,2024-03-01,2024-03-08,2026-03-27,0.12534482,0.18501825,0.03843972,0.16198831,0.5985258,0.00725995
forward_12w_return,random_forest_regressor,18202,4070,2015-01-02,2024-03-01,2024-03-08,2026-03-27,0.12634539,0.18823903,0.00467076,0.13058811,0.5972973,-0.04138468
