task,target,model,importance_type,feature,value
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_GE,0.0046380611
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_GOOGL,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_HD,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_HON,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_INTC,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_JNJ,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_JPM,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_KO,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_MA,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_MCD,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_META,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_MRK,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_MSFT,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_MU,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_NKE,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_NVDA,0.0066564898
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_PEP,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_PG,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_QCOM,0.0001452528
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_SBUX,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_TCEHY,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_TM,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_TSM,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_UNH,0.0
regression,forward_1w_return,random_forest_regressor,feature_importance,categorical__ticker_V,0.0
